timestamp,seed,draw,random_state,mean_type,loglik,AIC,BIC,success,status,param_p0,param_n0,param_rho_p,param_rho_n,param_phi_p,param_phi_n,param_sigma_p,param_sigma_n,param_c,param_rho_1,param_phi_1,param_rho_2,param_phi_2,stored_loglik,stored_AIC,stored_BIC
2026-06-07T22:43:41,91,4,910004,"ARX(1,1)",-172.0369644774525,366.073928954905,403.1509472643093,True,0,0.940132108990858,0.0371553443895764,0.6009079365301925,0.270396131879038,0.1391663139549043,0.70683073100682,0.2348197530464316,0.5585033635586599,0.1094280666574395,0.2662199483400811,0.6943614603581177,,,-172.0369644749668,366.0739289499336,403.1509472593379
2026-06-07T22:47:29,91,5,910005,"ARX(1,1)",-171.41711638213076,364.8342327642615,401.9112510736658,True,0,0.0792187425699727,0.0216322220923438,0.9328292113808327,0.2549587987188565,0.0280543878363867,0.7344450818329309,0.297499196470277,0.4585583889922001,0.1108154153941446,0.2291321340315819,0.7570112726815614,,,-171.4171163782675,364.834232756535,401.9112510659393
2026-06-07T22:49:37,91,6,910006,"ARX(1,1)",-172.0373355269545,366.074671053909,403.1516893633133,True,0,0.9459317728000374,0.03954964627713,0.5991923293670739,0.2697725955712106,0.1397856301998008,0.7061430202720118,0.2350418973965975,0.5603641934629172,0.109968578389408,0.2654790799242595,0.6943394237982967,,,-172.03733552696605,366.0746710539321,403.1516893633364
2026-06-07T22:51:14,91,7,910007,"ARX(1,1)",-171.3128439131055,364.625687826211,401.7027061356153,True,0,0.0574578579953042,0.0028060851845457,0.944945040662888,0.257341362380242,0.0236326979661695,0.7413539900523964,0.3139612644407117,0.4268078582239195,0.1228955476325822,0.2273432249316509,0.7487378303780666,,,-171.31284391239797,364.62568782479593,401.7027061342002
2026-06-07T22:53:14,91,8,910008,"ARX(1,1)",-171.4436250984577,364.8872501969154,401.9642685063197,True,0,0.0560552458999325,0.0414311195166997,0.9492592511475596,0.271098587012464,0.0219045811377516,0.7065642465059904,0.3089811909704154,0.5043299777145881,0.1241672496825473,0.2236777668257013,0.7532479237226553,,,-171.44362509821684,364.8872501964337,401.964268505838
2026-06-07T22:55:14,91,9,910009,"ARX(1,1)",-172.03649286278522,366.07298572557045,403.15000403497476,True,0,0.9390714283511236,0.0376707755964732,0.6007049421997033,0.2692556581180182,0.138084270559236,0.7078403558404385,0.2354765866748643,0.5561238485431491,0.1100958696888181,0.2657592167038831,0.6942277400709956,,,-172.03649286286188,366.07298572572375,403.15000403512806
2026-06-07T22:57:33,91,10,910010,"ARX(1,1)",-171.32858616596832,364.65717233193664,401.73419064134094,True,0,0.0593094896228947,0.0146333951891139,0.9447716923707916,0.2607882751647115,0.0234240079737037,0.7321765969744201,0.312323947507379,0.4441323897688445,0.1214793184877374,0.233408891838634,0.7443064335673557,,,-171.3285861665633,364.6571723331266,401.7341906425309
2026-06-07T22:59:26,91,11,910011,"ARX(1,1)",-171.42256665534262,364.84513331068524,401.92215162008955,True,0,0.0678904923787206,0.0306126098656017,0.9418283762404748,0.2745514167388315,0.0239986506265291,0.7099125693562207,0.3028595384156362,0.471483007467628,0.1278203512788618,0.2431807957586443,0.7260278697396021,,,-171.4225666625293,364.8451333250586,401.9221516344629
2026-06-07T23:01:15,91,12,910012,"ARX(1,1)",-171.39217915837963,364.78435831675927,401.8613766261636,True,0,0.0571492648299808,0.0248461981181483,0.9459964191096524,0.2726188365947241,0.0235571298909709,0.713929522822124,0.3170332376069701,0.5024236312314385,0.1209985662124942,0.2203551965318583,0.761862637638196,,,-171.3921791577227,364.7843583154453,401.8613766248496
2026-06-07T23:04:08,91,13,910013,"ARX(1,1)",-172.03687603697512,366.07375207395023,403.15077038335454,True,0,0.9490662298204192,0.0384718786851385,0.5982934926916891,0.2705545581488851,0.1396428375879979,0.706035909747498,0.234714620119767,0.5578875563674139,0.110421131161539,0.2649906044533862,0.6945535295052924,,,-172.03687603560053,366.07375207120106,403.15077038060537
2026-06-07T23:05:52,91,14,910014,"ARX(1,1)",-172.03700291062705,366.0740058212541,403.1510241306584,True,0,0.9431212815391103,0.0365037199217339,0.5994702189265894,0.2706737928971761,0.1400881558518673,0.7072757573896937,0.2348080786944256,0.5541663267853264,0.110538999958815,0.265237413646736,0.6939644716993137,,,-172.03700291462937,366.07400582925874,403.1510241386631
2026-06-07T23:07:21,91,15,910015,"ARX(1,1)",-171.42160070616245,364.8432014123249,401.9202197217292,True,0,0.0788239016703301,0.0168239031813791,0.9324257387225008,0.2419812502181315,0.0285606381657523,0.7493870124643124,0.3014394898937952,0.4709760549814772,0.1195209045441225,0.2393981549912623,0.7387063743610758,,,-171.4216007061179,364.8432014122358,401.92021972164014
2026-06-07T23:09:16,91,16,910016,"ARX(1,1)",-171.31233248112733,364.62466496225466,401.70168327165896,True,0,0.0575045186341126,0.0013933221894949,0.9448802139811904,0.2565125859504292,0.0236454870104436,0.7428447171957675,0.3135582366875295,0.4229819327610455,0.1231608433953657,0.2269790171320102,0.7484692875703814,,,-171.31233248153245,364.6246649630649,401.7016832724692
2026-06-07T23:10:51,91,17,910017,"ARX(1,1)",-172.0372561130921,366.0745122261842,403.1515305355885,True,0,0.9436382940652788,0.0385612134929483,0.6004351337071046,0.2708037566555537,0.1387659707578481,0.7057513216762763,0.2349199159421506,0.5590719445964272,0.1092336245465319,0.264762046019809,0.6967791246810385,,,-172.0372561018503,366.0745122037006,403.1515305131049
2026-06-07T23:12:25,91,18,910018,"ARX(1,1)",-171.3234344517134,364.6468689034268,401.72388721283113,True,0,0.0575737226623343,0.0107012244848113,0.9453172437170771,0.2608420253825765,0.023490694882005,0.7340253450195309,0.3141581518776979,0.4427922736612606,0.1221571782802385,0.2274906991271198,0.7504670130869359,,,-171.32343440008165,364.6468688001633,401.7238871095676
2026-06-07T23:14:07,91,19,910019,"ARX(1,1)",-172.03653682504878,366.07307365009757,403.1500919595019,True,0,0.9414149727115976,0.0376458590432842,0.6002672772715036,0.2692137520780708,0.1377705157218479,0.7079694997976811,0.2352660569273774,0.5542709134798214,0.109984005366657,0.2654507377909814,0.694577093167803,,,-172.03653681867308,366.07307363734617,403.1500919467505
2026-06-07T23:15:57,91,20,910020,"ARX(1,1)",-172.03673889702083,366.07347779404165,403.15049610344596,True,0,0.9317881534179088,0.0378280515829763,0.6022089463079913,0.2692879450906626,0.1372691973165838,0.7077460754938837,0.2361722605785229,0.5563631622207403,0.1096249361613688,0.2654619308021005,0.6951761962166533,,,-172.03673889354252,366.073477787085,403.15049609648935
2026-06-07T23:17:43,91,21,910021,"ARX(1,1)",-172.03677377322362,366.07354754644723,403.15056585585154,True,0,0.9506088094873862,0.0383385403530621,0.5973469015035913,0.2685261755869393,0.1392601577865268,0.708011894532631,0.2351002394838496,0.5596155114288262,0.1100456501118656,0.2655416364921633,0.6944452057423862,,,-172.0367737240058,366.0735474480116,403.1505657574159
2026-06-07T23:19:30,91,22,910022,"ARX(1,1)",-172.03693997798683,366.07387995597367,403.150898265378,True,0,0.9572859474781024,0.0383086666735545,0.5957984113749042,0.2690225250871118,0.1395544778005582,0.7076651532299761,0.2347185614352688,0.5555869792124555,0.1110448598978972,0.2646972360513865,0.6940946726138039,,,-172.036939978012,366.073879956024,403.15089826542834
2026-06-07T23:21:54,91,23,910023,"ARX(1,1)",-172.0367330000055,366.073466000011,403.15048430941533,True,0,0.9367596132507214,0.0377409825347005,0.6001374858503398,0.2694458076832214,0.1385913994299738,0.7075426484013567,0.2360450918249992,0.5580692685373783,0.1100847001635638,0.2660352502892613,0.6939901773882315,,,-172.03673300003297,366.07346600006593,403.15048430947024
2026-06-07T23:23:50,91,24,910024,"ARX(1,1)",-172.03706224619953,366.07412449239905,403.15114280180336,True,0,0.9599850729129786,0.0378707685730141,0.5943302582185123,0.2676581350548553,0.1401952305473891,0.7092414926939106,0.2349413586555977,0.5577930966992586,0.1110307532038432,0.2656377193920783,0.6933317717514581,,,-172.0370622493407,366.0741244986814,403.1511428080857
2026-06-07T23:25:17,91,25,910025,"ARX(1,1)",-171.41691817041647,364.83383634083293,401.91085465023724,True,0,0.0818951884347617,0.0242347016462971,0.9317128921382912,0.2523131234191419,0.0284177775277196,0.7354579174347381,0.2963887774534509,0.4703788420441811,0.1133705102408828,0.2332172835463741,0.7505472802270942,,,-171.41691816822953,364.8338363364591,401.91085464586337
2026-06-07T23:26:50,91,26,910026,"ARX(1,1)",-171.49435270911303,364.98870541822606,402.06572372763037,True,0,0.0749623407356386,0.0425045277394805,0.9380965812233548,0.241244735053704,0.0249600157379959,0.7340885393524434,0.3018547871770929,0.4866245125173883,0.1248245246609316,0.2403206954055297,0.7321829349549757,,,-171.49435270421628,364.98870540843257,402.0657237178369
2026-06-07T23:28:22,91,27,910027,"ARX(1,1)",-171.31326085633458,364.62652171266916,401.70354002207347,True,0,0.0580112146084646,0.0043737300677154,0.9448733920742975,0.2571818812605924,0.0235597521026201,0.740781816004324,0.3126786823113898,0.4275504882166977,0.1227816407311721,0.2288542039353784,0.7471556982622589,,,-171.3132608556814,364.6265217113628,401.7035400207671
