seed,draw,mean_type,success,status,loglik,AIC,BIC,stored_loglik,stored_AIC,stored_BIC,corrected_loglik,corrected_AIC,corrected_BIC,corrected_loglik_delta,selection_eligible,selection_reason,selection_shape_reference,selection_high_shape_density,selection_loglik_upper_threshold,selection_loglik_plausible,selection_variance_bound,selection_bounds_ok,selection_constraints_ok,selection_mean_stationary,selection_implied_variance_bounds_ok,selection_shape_max,selection_max_p_t,selection_max_n_t,selection_sigma_min,selection_persistence_p,selection_persistence_n,selection_uncond_var_ref,selection_cond_var_min,selection_cond_var_median,selection_cond_var_max,selection_cond_var_lower_min,selection_cond_var_lower_max,selection_cond_var_upper_min,selection_cond_var_upper_max
1,21,"ARX(1,1)",True,0,-170.06440100079593,360.12880200159185,393.83518228286846,-170.06440100293236,360.1288020058647,393.8351822871413,-170.06440100079593,360.12880200159185,393.83518228286846,2.136431476174039e-09,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,40.12784470202054,40.12784470202054,3.064140290690249,0.1841543128739878,0.8190763876995919,0.8190763876995919,0.07859057452064012,0.16436427948485352,0.24642089442743859,2.646779818009061,9.539143863333408e-08,1.4004667026178463e-06,95391.43863333408,1400466.7026178464
1,22,"ARX(1,1)",True,0,-170.06467012845135,360.1293402569027,393.8357205381793,-170.06467012861253,360.12934025722507,393.8357205385017,-170.06467012845135,360.1293402569027,393.8357205381793,1.6117951417982113e-10,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,40.56656580024797,40.56656580024797,3.0537990829161448,0.1833437955507122,0.8186799879788049,0.8186799879788049,0.07877509537037664,0.16437803737000137,0.24657637931800777,2.6527010324997438,9.539613944730512e-08,1.4003314121335934e-06,95396.13944730512,1400331.4121335936
1,23,"ARX(1,1)",True,0,-170.06435192363293,360.12870384726585,393.83508412854246,-170.06435192360675,360.1287038472135,393.8350841284901,-170.06435192363293,360.12870384726585,393.83508412854246,-2.617639438540209e-11,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,39.997544528892846,39.997544528892846,3.065695051287554,0.1842506734501512,0.8191124743572048,0.8191124743572048,0.0784488122696231,0.16444951067807306,0.24622848396900704,2.6408413258211567,9.539989835988434e-08,1.4005244079677812e-06,95399.89835988435,1400524.4079677812
1,24,"ARX(1,1)",True,0,-170.06444933698643,360.12889867397286,393.83527895524946,-170.06444933729435,360.1288986745887,393.8352789558653,-170.06444933698643,360.12889867397286,393.83527895524946,3.07920799968997e-10,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,39.99443069454934,39.99443069454934,3.0686473921052597,0.1845283947131065,0.8193087006602557,0.8193087006602557,0.07862940764620527,0.16441403463638415,0.24653005347089724,2.6486744235506308,9.54133746951312e-08,1.4004995456731552e-06,95413.37469513119,1400499.5456731552
1,25,"ARX(1,1)",True,0,-170.0643534865564,360.1287069731128,393.8350872543894,-170.0643534867441,360.1287069734882,393.8350872547648,-170.0643534865564,360.1287069731128,393.8350872543894,1.8769696907838807e-10,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,40.011817986356235,40.011817986356235,3.068973344414151,0.1842306225294696,0.8191907834784324,0.8191907834784324,0.07842697806496052,0.16441567888971537,0.24620607115006432,2.641194084837522,9.540021666463538e-08,1.4005272067540092e-06,95400.21666463539,1400527.2067540092
1,26,"ARX(1,1)",True,0,-170.06435787087764,360.1287157417553,393.8350960230319,-170.06435787088282,360.12871574176563,393.83509602304224,-170.06435787087764,360.1287157417553,393.8350960230319,5.172751116333529e-12,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,39.95779159763672,39.95779159763672,3.068157233260433,0.1842208078337013,0.8190292836372517,0.8190292836372517,0.07838881601481841,0.16442299330856286,0.24613265159335945,2.6372903331741724,9.53904670430109e-08,1.4005676128222395e-06,95390.4670430109,1400567.6128222395
1,27,"ARX(1,1)",True,0,-170.06460729503485,360.1292145900697,393.8355948713463,-170.06460729467108,360.1292145893421,393.8355948706188,-170.06460729503485,360.1292145900697,393.8355948713463,-3.637694589997409e-10,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,40.30377799181335,40.30377799181335,3.0532609383734144,0.183584911793143,0.8185832701265996,0.8185832701265996,0.07856800618597184,0.16420744544667365,0.246139083033149,2.6419014950469855,9.54290354561286e-08,1.4006679544966967e-06,95429.03545612861,1400667.9544966966
1,28,"ARX(1,1)",True,0,-170.0643620221622,360.1287240443244,393.835104325601,-170.0643620218964,360.1287240437928,393.8351043250694,-170.0643620221622,360.1287240443244,393.835104325601,-2.657998265931383e-10,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,39.961738732615345,39.961738732615345,3.0697330165354773,0.1843347755319166,0.819052773653799,0.819052773653799,0.0784617558910122,0.1644233320374525,0.2462186564844873,2.6408393382542563,9.539932377608302e-08,1.4004742530630917e-06,95399.32377608302,1400474.2530630918
1,29,"ARX(1,1)",True,0,-170.06436943308387,360.12873886616774,393.83511914744435,-170.06436943304038,360.1287388660808,393.8351191473574,-170.06436943308387,360.12873886616774,393.83511914744435,-4.348521542851813e-11,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,39.98620582416881,39.98620582416881,3.058309189866601,0.1842561124735078,0.8195468275910432,0.8195468275910432,0.07829204639616279,0.16444210598662462,0.24614602439930985,2.6403488298230764,9.538363993662018e-08,1.4004873049955567e-06,95383.6399366202,1400487.3049955566
1,30,"ARX(1,1)",True,0,-170.0643521973663,360.1287043947326,393.8350846760092,-170.06435219737045,360.12870439474085,393.8350846760175,-170.0643521973663,360.1287043947326,393.8350846760092,4.149569576838985e-12,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,39.952033334231054,39.952033334231054,3.0641781453979746,0.1843124553588191,0.819130176951772,0.819130176951772,0.07841705466946357,0.1644761686884126,0.24618250023745267,2.639576838044572,9.540443944636662e-08,1.400542935659356e-06,95404.43944636662,1400542.935659356
1,31,"ARX(1,1)",True,0,-170.06499720708493,360.12999441416986,393.83637469544647,-170.0649972063419,360.1299944126838,393.8363746939604,-170.06499720708493,360.12999441416986,393.83637469544647,-7.43028749639052e-10,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,40.00329432057676,40.00329432057676,2.997187015143152,0.1844877390999896,0.8201163707346114,0.8201163707346114,0.07844777431447247,0.16492383879106962,0.24684614527411863,2.6488589960369984,9.530535838190125e-08,1.4004902890853655e-06,95305.35838190126,1400490.2890853654
1,32,"ARX(1,1)",True,0,-170.06435739385807,360.12871478771615,393.83509506899276,-170.0643573939009,360.12871478780187,393.8350950690785,-170.06435739385807,360.12871478771615,393.83509506899276,4.283151611161884e-11,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,40.03855570500254,40.03855570500254,3.067880321079776,0.1842089225073218,0.819006269155387,0.819006269155387,0.07849413044098719,0.164408543706913,0.24624848858076925,2.6423858163262253,9.540022938413319e-08,1.4004955659704222e-06,95400.22938413318,1400495.5659704222
1,33,"ARX(1,1)",True,0,-170.0643921471589,360.1287842943178,393.83516457559443,-170.0643921488432,360.1287842976864,393.83516457896303,-170.0643921471589,360.1287842943178,393.83516457559443,1.6842989225551719e-09,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,40.17026489101282,40.17026489101282,3.0732704341958303,0.1840364615478771,0.8190232548403944,0.8190232548403944,0.07856641778851942,0.1643297548130394,0.24634618399643066,2.6462460192132644,9.539790264026467e-08,1.4004624741148683e-06,95397.90264026467,1400462.4741148683
1,34,"ARX(1,1)",True,0,-170.06436406611653,360.12872813223305,393.83510841350966,-170.06436406603137,360.12872813206275,393.83510841333936,-170.06436406611653,360.12872813223305,393.83510841350966,-8.51514414534904e-11,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,39.880996636037715,39.880996636037715,3.060520976485332,0.1843994545962038,0.8191779011726227,0.8191779011726227,0.07836165267708432,0.16453104262291124,0.24614938845407414,2.6373492183160945,9.53929802787445e-08,1.400525129247845e-06,95392.9802787445,1400525.129247845
1,35,"ARX(1,1)",True,0,-170.0651623633532,360.1303247267064,393.836705007983,-170.06516236320627,360.13032472641254,393.8367050076892,-170.0651623633532,360.1303247267064,393.836705007983,-1.4694023775518872e-10,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,40.76845526160905,40.76845526160905,3.085267173161033,0.1832908263312467,0.8178941651687142,0.8178941651687142,0.07929066350838308,0.1645656974629715,0.2471803492730716,2.664723748727166,9.538855149281645e-08,1.400099303722409e-06,95388.55149281646,1400099.303722409
1,36,"ARX(1,1)",True,0,-170.06443890589736,360.1288778117947,393.83525809307133,-170.0644389057016,360.1288778114032,393.8352580926798,-170.06443890589736,360.1288778117947,393.83525809307133,-1.957687345566228e-10,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,39.857202783123306,39.857202783123306,3.071177991160812,0.1847120575128707,0.8192293537574294,0.8192293537574294,0.07856982987734336,0.1646799898531403,0.24649603569504508,2.6448295541149536,9.541394158200692e-08,1.4004897203117172e-06,95413.94158200691,1400489.7203117174
1,37,"ARX(1,1)",True,0,-170.0645640764057,360.1291281528114,393.835508434088,-170.06456407737667,360.12912815475335,393.83550843603,-170.0645640764057,360.1291281528114,393.835508434088,9.709708592708921e-10,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,39.920269678441464,39.920269678441464,3.0247078855411265,0.1841764856369571,0.8200858209551847,0.8200858209551847,0.07806873676228644,0.1647486705768379,0.24607457758730236,2.6338743272250067,9.53604393038811e-08,1.400417188966203e-06,95360.4393038811,1400417.188966203
1,38,"ARX(1,1)",True,0,-170.06435701510875,360.1287140302175,393.8350943114941,-170.06435701496713,360.12871402993426,393.83509431121087,-170.06435701510875,360.1287140302175,393.8350943114941,-1.4162537809170317e-10,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,39.91578203540627,39.91578203540627,3.065538944083438,0.1843495586946552,0.8192180624005598,0.8192180624005598,0.07834454417246749,0.16446685322143428,0.24611162167057848,2.6382072893745705,9.539765794234651e-08,1.4005488802009753e-06,95397.65794234652,1400548.8802009753
1,39,"ARX(1,1)",True,0,-170.06435600606227,360.12871201212454,393.83509229340115,-170.06435600581693,360.12871201163387,393.8350922929105,-170.06435600606227,360.12871201212454,393.83509229340115,-2.453361958032474e-10,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,40.00347236131966,40.00347236131966,3.0641050645924217,0.1842538340226505,0.8193256872897776,0.8193256872897776,0.07836677182895503,0.16442573591430457,0.2461820821243918,2.641398009060305,9.538688352766545e-08,1.4005046617339408e-06,95386.88352766546,1400504.6617339407
1,40,"ARX(1,1)",True,0,-170.06435891535017,360.12871783070034,393.83509811197695,-170.06435892047307,360.12871784094614,393.8350981222228,-170.06435891535017,360.12871783070034,393.83509811197695,5.122899437992601e-09,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,40.024686215992595,40.024686215992595,3.061641759538054,0.1842298187650334,0.8193803973311022,0.8193803973311022,0.07839946864586217,0.16441133324065635,0.24622759746541245,2.642131290997715,9.539443719330668e-08,1.400522199034416e-06,95394.43719330667,1400522.199034416
2,1,"ARX(1,1)",True,0,-170.06443779738282,360.12887559476565,393.83525587604225,-170.0644377943168,360.1288755886336,393.8352558699102,-170.06443779738282,360.12887559476565,393.83525587604225,-3.0660203265142627e-09,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,40.267510963212665,40.267510963212665,3.053958611598223,0.1837069328153085,0.8192633527413045,0.8192633527413045,0.07845000151161872,0.16442036388388184,0.2462418800273406,2.643251978707464,9.540590764639335e-08,1.4005162407156753e-06,95405.90764639336,1400516.2407156753
2,2,"ARX(1,1)",True,0,-170.06436656750307,360.12873313500614,393.83511341628275,-170.0643665674653,360.1287331349306,393.8351134162072,-170.06436656750307,360.12873313500614,393.83511341628275,-3.7772451833006926e-11,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,40.04723517835317,40.04723517835317,3.060154167716685,0.1840356950023066,0.8191464192509283,0.8191464192509283,0.07833151466007221,0.16439771151790078,0.2460447745363394,2.638021946429528,9.539891878406175e-08,1.4005505926584035e-06,95398.91878406175,1400550.5926584033
2,3,"ARX(1,1)",True,0,-170.06435719579474,360.1287143915895,393.8350946728661,-170.0643571957859,360.1287143915718,393.8350946728484,-170.06435719579474,360.1287143915895,393.8350946728661,-8.839151632855646e-12,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,40.02711967719466,40.02711967719466,3.072508926711583,0.1841852080109794,0.8192543673380278,0.8192543673380278,0.07832631862393735,0.1642949608008612,0.24604731317190276,2.640885228435811,9.539663764432381e-08,1.4005164536669362e-06,95396.63764432381,1400516.4536669361
2,4,"ARX(1,1)",True,0,-170.06459760039695,360.1291952007939,393.8355754820705,-170.06459760071317,360.12919520142634,393.83557548270295,-170.06459760039695,360.1291952007939,393.8355754820705,3.16219939122675e-10,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,40.44091083053859,40.44091083053859,3.068691547579924,0.1835661813133246,0.8184359344418282,0.8184359344418282,0.07881247837263801,0.1643379147099956,0.24650719542830302,2.6506516496544195,9.541549108083206e-08,1.4003855610575428e-06,95415.49108083206,1400385.561057543
2,5,"ARX(1,1)",True,0,-170.06460513018607,360.12921026037213,393.83559054164874,-170.06460513011768,360.12921026023537,393.835590541512,-170.06460513018607,360.12921026037213,393.83559054164874,-6.838263288955204e-11,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,39.997047500796455,39.997047500796455,3.0449844726362683,0.1839893714824329,0.8178447456052582,0.8178447456052582,0.07871314597648883,0.16465966709226343,0.2464119490647873,2.6334009450417204,9.53424507507987e-08,1.400337205964441e-06,95342.4507507987,1400337.205964441
2,6,"ARX(1,1)",True,0,-170.0643992448281,360.1287984896562,393.8351787709328,-170.06439924253857,360.12879848507714,393.83517876635375,-170.0643992448281,360.1287984896562,393.8351787709328,-2.2895392248756252e-09,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,40.08476697834245,40.08476697834245,3.048385891383858,0.1840079334880455,0.8192165984932832,0.8192165984932832,0.07839970990202802,0.16443645346981361,0.24616439034238358,2.6398482792880698,9.539957645555441e-08,1.4005653040139796e-06,95399.57645555442,1400565.3040139796
2,7,"ARX(1,1)",True,0,-170.06436454096414,360.12872908192827,393.8351093632049,-170.06436454180715,360.1287290836143,393.8351093648909,-170.06436454096414,360.12872908192827,393.8351093632049,8.430163234152133e-10,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,40.10045109610753,40.10045109610753,3.062780211316503,0.1840859338806614,0.819187731405683,0.819187731405683,0.07843595313078111,0.16438134275670724,0.24622440598013856,2.6430088236207796,9.538483654493031e-08,1.4004537125247617e-06,95384.83654493031,1400453.7125247617
2,8,"ARX(1,1)",True,0,-170.06435487871093,360.12870975742186,393.83509003869847,-170.06435487879526,360.1287097575905,393.8350900388671,-170.06435487871093,360.12870975742186,393.83509003869847,8.432721188000869e-11,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,40.027532189770305,40.027532189770305,3.0595737306897606,0.1841745534183121,0.8191473529602183,0.8191473529602183,0.07843660368092667,0.1644781662842793,0.246238107678728,2.6407207674532582,9.53943558366324e-08,1.4005122852271249e-06,95394.3558366324,1400512.2852271248
2,9,"ARX(1,1)",True,0,-170.0643916525189,360.1287833050378,393.8351635863144,-170.0643916524216,360.1287833048432,393.8351635861198,-170.0643916525189,360.1287833050378,393.8351635863144,-9.731593308970332e-11,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,39.80095364409551,39.80095364409551,3.062447254416944,0.184514140293819,0.8192871446191169,0.8192871446191169,0.07825771027522875,0.1645128203822471,0.2459904066853411,2.6351679436934865,9.541031875688901e-08,1.400568167404893e-06,95410.318756889,1400568.167404893
