timestamp,seed,draw,random_state,mean_type,loglik,AIC,BIC,success,status,message,param_shape_p,param_shape_n,param_sigma_p,param_sigma_n,se_shape_p,se_shape_n,se_sigma_p,se_sigma_n,param_c,param_rho_1,param_phi_1,se_c,se_rho_1,se_phi_1,param_rho_2,se_rho_2,param_phi_2,se_phi_2,selection_eligible,selection_reason,selection_bounds_ok,selection_mean_stationary,selection_loglik_upper_threshold,selection_loglik_plausible,selection_implied_variance_bounds_ok,selection_cond_var_min,selection_cond_var_median,selection_cond_var_max,selection_cond_var_lower_min,selection_cond_var_lower_max,selection_cond_var_upper_min,selection_cond_var_upper_max,rank,se_message,se_hessian_ridge,se_used_pseudoinverse,se_used_opg_fallback
2026-06-01T17:23:45,35,31,350031,"ARX(1,1)",-184.3961765607806,382.7923531215612,406.3868193184548,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.6277051835580143,0.281090474172481,0.2856773450023609,0.8002870587214355,0.6891771749774459,0.15335142391447945,0.05634766822540455,0.32303989181835213,0.0560000516706055,0.3237102549437625,0.7377953656880846,0.071173218987868,0.08112479909909324,0.11292184554688421,,,,,True,eligible,True,True,-150.0,True,True,0.394478110799236,0.394478110799236,0.394478110799236,9.816262058590999e-08,1.4359879545003464e-06,98162.62058590999,1435987.9545003464,1,computed,1e-08,False,False
2026-06-01T17:13:52,19,23,190023,"ARX(1,1)",-184.39617658828928,382.79235317657856,406.3868193734722,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.627966249349611,0.281127885004289,0.285660451380389,0.8001948995936843,0.6768799290381593,0.16261279552434452,0.055284134127864794,0.34048156111447825,0.0560291698684844,0.3237062999699544,0.7377763102651109,0.072102581307954,0.08158999774556994,0.11432252108245408,,,,,True,eligible,True,True,-150.0,True,True,0.39445654577446954,0.39445654577446954,0.39445654577446954,9.816569925259953e-08,1.435986011910749e-06,98165.69925259953,1435986.0119107491,2,computed,1e-08,False,False
2026-06-01T17:15:55,47,25,470025,"ARX(1,1)",-184.3961765922936,382.7923531845872,406.3868193814809,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.627916711029028,0.2811308671521996,0.2856658752961324,0.8002029001935604,0.39578698058067996,0.14802832328988075,0.036615019129272626,0.3184034868149147,0.0560226259936517,0.3236955817657146,0.737795540650294,0.07173081811415472,0.08107767108231083,0.11329476184715534,,,,,True,eligible,True,True,-150.0,True,True,0.39446615595436063,0.39446615595436063,0.39446615595436063,9.816531752973417e-08,1.4359762114800177e-06,98165.31752973418,1435976.2114800178,3,computed,1e-08,False,False
2026-06-01T17:01:27,41,11,410011,"ARX(1,1)",-184.3961766134547,382.7923532269094,406.3868194238031,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.627694004828645,0.281071795633809,0.2856793561751836,0.8003043820322822,0.670546010488207,0.15982556521357802,0.05458292534960073,0.3318809699799645,0.0560169604873769,0.3237135337417495,0.737765567805718,0.07164523970062305,0.08122396206408232,0.11415901963553621,,,,,True,eligible,True,True,-150.0,True,True,0.39447604854642554,0.39447604854642554,0.39447604854642554,9.816239964055682e-08,1.435990338196682e-06,98162.39964055682,1435990.338196682,4,computed,1e-08,False,False
2026-06-01T17:02:35,47,12,470012,"ARX(1,1)",-184.39617661987543,382.7923532397509,406.3868194366445,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.6277022392242806,0.2810956438274762,0.2856836267731296,0.80030775016948,1.5093385083247262,0.21706998821664025,0.11354492486536823,0.4142832539514343,0.056023465825936,0.3237101200481314,0.7377691755551085,0.07331003218387383,0.08207719011553014,0.11745874265815144,,,,,True,eligible,True,True,-150.0,True,True,0.39449992220287594,0.39449992220287594,0.39449992220287594,9.816389659559316e-08,1.435988233159121e-06,98163.89659559316,1435988.233159121,5,computed,1e-08,False,False
2026-06-01T17:15:15,43,23,430023,"ARX(1,1)",-184.39617662402088,382.79235324804176,406.3868194449354,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.627930603094068,0.2811284893314636,0.2856674050394149,0.8002097006431335,0.43577412702653817,0.1476973345340543,0.0391682925469871,0.31537707969350137,0.0560186202305264,0.3237004696241924,0.737784505058983,0.07086079021985527,0.08105468731423093,0.1124763914747929,,,,,True,eligible,True,True,-150.0,True,True,0.39447112350151314,0.39447112350151314,0.39447112350151314,9.816347987345467e-08,1.4359793285856977e-06,98163.47987345466,1435979.3285856976,6,computed,1e-08,False,False
2026-06-01T17:12:09,36,23,360023,"ARX(1,1)",-184.39617663454163,382.79235326908326,406.3868194659769,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.627690954851928,0.2810767749921352,0.2856763397773264,0.800265999140466,0.786955822547307,0.17012624076903252,0.06279233110581976,0.349293957337949,0.0560203466921808,0.3237088844412641,0.737780103376242,0.07177492755317828,0.08152940511701237,0.11403976922952005,,,,,True,eligible,True,True,-150.0,True,True,0.3944571923702635,0.3944571923702635,0.3944571923702635,9.816469775441529e-08,1.4359877991196138e-06,98164.69775441529,1435987.7991196138,7,computed,1e-08,False,False
2026-06-01T17:00:22,39,9,390009,"ARX(1,1)",-184.39617663771213,382.79235327542426,406.3868194723179,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.627708053088498,0.2810867837661325,0.2856828712431634,0.8002878926362115,0.5357005888895588,0.15211939600283197,0.045693053880851764,0.32211410716968547,0.0560157563742453,0.3237058255951189,0.7377760924626182,0.07131689881854533,0.08093715224214976,0.11306926196501511,,,,,True,eligible,True,True,-150.0,True,True,0.3944846535295756,0.3944846535295756,0.3944846535295756,9.816241814511188e-08,1.4359834270470832e-06,98162.41814511188,1435983.4270470832,8,computed,1e-08,False,False
2026-06-01T17:19:57,31,29,310029,"ARX(1,1)",-184.3961766520771,382.7923533041542,406.3868195010478,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.627645845284074,0.2811026307682596,0.2856863928105807,0.8002918062186609,0.5378030620948278,0.15761798780504113,0.045792372773250045,0.3342535217608154,0.0560175978260864,0.3237168736154036,0.7377745397562975,0.07169701226376303,0.0811331733734413,0.11330101817136494,,,,,True,eligible,True,True,-150.0,True,True,0.39449677379403003,0.39449677379403003,0.39449677379403003,9.816459727833706e-08,1.435994997148766e-06,98164.59727833707,1435994.997148766,9,computed,1e-08,False,False
2026-06-01T17:17:38,11,28,110028,"ARX(1,1)",-184.39617666723217,382.79235333446434,406.386819531358,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.627879233007774,0.2811685537397524,0.2856668367677848,0.8001499682365929,1.1087492223435875,0.18243932919509803,0.08521546323527346,0.36069772662227556,0.0560040172651829,0.323710650710192,0.7377805339999246,0.07192024268648829,0.08201453074436987,0.1156271456713233,,,,,True,eligible,True,True,-150.0,True,True,0.3944648550255284,0.3944648550255284,0.3944648550255284,9.816123881749742e-08,1.4359871716211537e-06,98161.23881749742,1435987.1716211536,10,computed,1e-08,False,False
2026-06-01T17:10:41,17,22,170022,"ARX(1,1)",-184.39617666758028,382.79235333516056,406.3868195320542,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.627592234415217,0.2811129105891258,0.2856824317768337,0.8002290415034429,0.29630494507266375,0.14518435448135247,0.030609169029262535,0.31848969794841026,0.0560254532649651,0.3236994899790897,0.7377739052166168,0.0717391891667196,0.08097889120437125,0.11290849416888427,,,,,True,eligible,True,True,-150.0,True,True,0.3944647957959684,0.3944647957959684,0.3944647957959684,9.816320649705674e-08,1.4359780735334303e-06,98163.20649705674,1435978.0735334302,11,computed,1e-08,False,False
2026-06-01T17:00:03,31,10,310010,"ARX(1,1)",-184.396176671433,382.792353342866,406.3868195397597,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.6278732013187343,0.2811199627272675,0.2856647779775912,0.800265365477932,0.9725908731561526,0.18327963832174554,0.0756734347479805,0.36890089305311846,0.0560040135756647,0.3237122740035834,0.7377624393440093,0.0723227422821422,0.08160251550017662,0.11515945845234037,,,,,True,eligible,True,True,-150.0,True,True,0.3944820800796217,0.3944820800796217,0.3944820800796217,9.815861855184442e-08,1.435986655702605e-06,98158.61855184443,1435986.6557026051,12,computed,1e-08,False,False
2026-06-01T16:52:27,29,2,290002,"ARX(1,1)",-184.39617668114505,382.7923533622901,406.3868195591837,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.6279761870465093,0.2810608015043475,0.2856622701547207,0.8003590920331576,0.37735018694428124,0.14364648343043007,0.03542934045655939,0.3102138902711019,0.0560198180002505,0.3237118497994363,0.7377767429299095,0.07123726481966061,0.08104031085039629,0.11306974159429532,,,,,True,eligible,True,True,-150.0,True,True,0.39449099555574585,0.39449099555574585,0.39449099555574585,9.816456774907517e-08,1.435990388889325e-06,98164.56774907517,1435990.388889325,13,computed,1e-08,False,False
2026-06-01T17:29:15,37,37,370037,"ARX(1,1)",-184.3961766936273,382.7923533872546,406.3868195841482,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.627873310479866,0.2811370918956848,0.2856649605163829,0.8001566988569502,0.5085710575242581,0.14890340587739792,0.0441655844380113,0.32162715230093325,0.0560132894167902,0.3237206518196021,0.7377825676512907,0.07172277382411033,0.08147705597504391,0.113873294406536,,,,,True,eligible,True,True,-150.0,True,True,0.3944444397472595,0.3944444397472595,0.3944444397472595,9.81655569216068e-08,1.435999234986932e-06,98165.5569216068,1435999.234986932,14,computed,1e-08,False,False
