seed,draw,mean_type,success,optimizer_success,loglik,AIC,BIC,selection_eligible,selection_reason,selection_bounds_ok,selection_mean_stationary,selection_loglik_upper_threshold,selection_loglik_plausible,selection_implied_variance_bounds_ok,selection_cond_var_min,selection_cond_var_median,selection_cond_var_max,selection_p_t_q05,selection_p_t_median,selection_p_t_q95,selection_n_t_q05,selection_n_t_median,selection_n_t_q95,selection_cond_var_q05,selection_cond_var_q95,selection_cond_skewness_q05,selection_cond_skewness_median,selection_cond_skewness_q95,selection_cond_excess_kurtosis_q05,selection_cond_excess_kurtosis_median,selection_cond_excess_kurtosis_q95,selection_cond_var_lower_min,selection_cond_var_lower_max,selection_cond_var_upper_min,selection_cond_var_upper_max
1,31,"ARX(1,1)",True,True,-184.3961778079692,382.7923556159384,406.386821812832,True,eligible,True,True,-150.0,True,True,0.39451931953887165,0.39451931953887165,0.39451931953887165,2.628085550234245,2.628085550234245,2.628085550234245,0.2809970535152117,0.2809970535152117,0.2809970535152117,0.39451931953887165,0.39451931953887165,-0.16580735490366055,-0.16580735490366055,-0.16580735490366055,0.7974090151146146,0.7974090151146146,0.7974090151146146,9.815622864526813e-08,1.4360067164547414e-06,98156.22864526813,1436006.7164547413
1,32,"ARX(1,1)",True,True,-184.3961813723542,382.7923627447084,406.386828941602,True,eligible,True,True,-150.0,True,True,0.39438599135445146,0.39438599135445146,0.39438599135445146,2.6282579081581887,2.6282579081581887,2.6282579081581887,0.2814471217585825,0.2814471217585825,0.2814471217585825,0.39438599135445146,0.39438599135445146,-0.1652434465208334,-0.1652434465208334,-0.1652434465208334,0.7952357390083208,0.7952357390083208,0.7952357390083208,9.81578180035895e-08,1.435949814547025e-06,98157.81800358949,1435949.8145470251
1,33,"ARX(1,1)",True,True,-184.39617716371956,382.7923543274391,406.3868205243327,True,eligible,True,True,-150.0,True,True,0.39444529534981526,0.39444529534981526,0.39444529534981526,2.628191833159812,2.628191833159812,2.628191833159812,0.2811027598987789,0.2811027598987789,0.2811027598987789,0.39444529534981526,0.39444529534981526,-0.16565206507322727,-0.16565206507322727,-0.16565206507322727,0.7967281348078004,0.7967281348078004,0.7967281348078004,9.815643310242212e-08,1.435973605138408e-06,98156.43310242212,1435973.605138408
1,34,"ARX(1,1)",True,True,-184.39617916848923,382.7923583369785,406.3868245338721,True,eligible,True,True,-150.0,True,True,0.39450261578606827,0.39450261578606827,0.39450261578606827,2.6291055452130907,2.6291055452130907,2.6291055452130907,0.2810755239388265,0.2810755239388265,0.2810755239388265,0.39450261578606827,0.39450261578606827,-0.16580111033567982,-0.16580111033567982,-0.16580111033567982,0.7971502364849219,0.7971502364849219,0.7971502364849219,9.816642948332147e-08,1.4359885438900442e-06,98166.42948332148,1435988.543890044
1,35,"ARX(1,1)",True,True,-184.396178771696,382.792357543392,406.3868237402857,True,eligible,True,True,-150.0,True,True,0.39452900755526193,0.39452900755526193,0.39452900755526193,2.627386631805259,2.627386631805259,2.627386631805259,0.2812238322528191,0.2812238322528191,0.2812238322528191,0.39452900755526193,0.39452900755526193,-0.16550139483787332,-0.16550139483787332,-0.16550139483787332,0.7965483427237113,0.7965483427237113,0.7965483427237113,9.816646632842685e-08,1.4360146856183784e-06,98166.46632842685,1436014.6856183785
1,36,"ARX(1,1)",True,True,-184.39617671118924,382.7923534223785,406.3868196192721,True,eligible,True,True,-150.0,True,True,0.3944484747710671,0.3944484747710671,0.3944484747710671,2.6279942546904222,2.6279942546904222,2.6279942546904222,0.281096799254155,0.281096799254155,0.281096799254155,0.3944484747710671,0.3944484747710671,-0.16560334448803138,-0.16560334448803138,-0.16560334448803138,0.7966623157620085,0.7966623157620085,0.7966623157620085,9.816310657787494e-08,1.4359714620854242e-06,98163.10657787495,1435971.4620854242
1,37,"ARX(1,1)",True,True,-184.3961813341401,382.7923626682802,406.3868288651738,True,eligible,True,True,-150.0,True,True,0.3944561122605158,0.3944561122605158,0.3944561122605158,2.6281679400945483,2.6281679400945483,2.6281679400945483,0.2812865672435877,0.2812865672435877,0.2812865672435877,0.3944561122605158,0.3944561122605158,-0.16544096068735453,-0.16544096068735453,-0.16544096068735453,0.796067263203048,0.796067263203048,0.796067263203048,9.817653954489541e-08,1.4360171191552726e-06,98176.53954489541,1436017.1191552726
1,38,"ARX(1,1)",True,True,-184.39617819377972,382.7923563875595,406.3868225844531,True,eligible,True,True,-150.0,True,True,0.39439999036624673,0.39439999036624673,0.39439999036624673,2.6288141073854923,2.6288141073854923,2.6288141073854923,0.2811753139094445,0.2811753139094445,0.2811753139094445,0.39439999036624673,0.39439999036624673,-0.16554026487269266,-0.16554026487269266,-0.16554026487269266,0.796217135128511,0.796217135128511,0.796217135128511,9.817020606731255e-08,1.4360006388816314e-06,98170.20606731255,1436000.6388816314
1,39,"ARX(1,1)",True,True,-184.3962016200728,382.7924032401456,406.38686943703925,True,eligible,True,True,-150.0,True,True,0.3944554206834304,0.3944554206834304,0.3944554206834304,2.625800834993987,2.625800834993987,2.625800834993987,0.2806512095935772,0.2806512095935772,0.2806512095935772,0.3944554206834304,0.3944554206834304,-0.1656413853506007,-0.1656413853506007,-0.1656413853506007,0.7975800158543289,0.7975800158543289,0.7975800158543289,9.816623723145279e-08,1.4357993309205916e-06,98166.23723145279,1435799.3309205917
1,40,"ARX(1,1)",True,True,-184.39618254833897,382.79236509667794,406.3868312935716,True,eligible,True,True,-150.0,True,True,0.3943938328729587,0.3943938328729587,0.3943938328729587,2.6289197778684605,2.6289197778684605,2.6289197778684605,0.2813443004192191,0.2813443004192191,0.2813443004192191,0.3943938328729587,0.3943938328729587,-0.16555001755830057,-0.16555001755830057,-0.16555001755830057,0.7959737850546361,0.7959737850546361,0.7959737850546361,9.816630727864739e-08,1.4359429251932995e-06,98166.3072786474,1435942.9251932995
2,1,"ARX(1,1)",True,True,-184.39617741697376,382.7923548339475,406.38682103084113,True,eligible,True,True,-150.0,True,True,0.3944363474936397,0.3944363474936397,0.3944363474936397,2.6286627896015315,2.6286627896015315,2.6286627896015315,0.2811731827164349,0.2811731827164349,0.2811731827164349,0.3944363474936397,0.3944363474936397,-0.16561162133236523,-0.16561162133236523,-0.16561162133236523,0.7964799769464548,0.7964799769464548,0.7964799769464548,9.816162819834672e-08,1.4359753849377844e-06,98161.62819834672,1435975.3849377846
2,2,"ARX(1,1)",True,True,-184.3961778084823,382.7923556169646,406.3868218138582,True,eligible,True,True,-150.0,True,True,0.3945133163024241,0.3945133163024241,0.3945133163024241,2.6283068338234177,2.6283068338234177,2.6283068338234177,0.2810339631295904,0.2810339631295904,0.2810339631295904,0.3945133163024241,0.3945133163024241,-0.16580021421124996,-0.16580021421124996,-0.16580021421124996,0.7973064306752228,0.7973064306752228,0.7973064306752228,9.816394344837826e-08,1.4359967666632243e-06,98163.94344837827,1435996.7666632242
2,3,"ARX(1,1)",True,True,-184.39617792872343,382.79235585744686,406.3868220543405,True,eligible,True,True,-150.0,True,True,0.3945070787448488,0.3945070787448488,0.3945070787448488,2.626763593028801,2.626763593028801,2.626763593028801,0.2810802390722427,0.2810802390722427,0.2810802390722427,0.3945070787448488,0.3945070787448488,-0.16553876460039593,-0.16553876460039593,-0.16553876460039593,0.7968217372182209,0.7968217372182209,0.7968217372182209,9.816528435811002e-08,1.435973245655222e-06,98165.28435811002,1435973.245655222
2,4,"ARX(1,1)",True,True,-184.39617904163333,382.79235808326666,406.3868242801603,True,eligible,True,True,-150.0,True,True,0.394600906341419,0.394600906341419,0.394600906341419,2.626883939158172,2.626883939158172,2.626883939158172,0.2809120018260414,0.2809120018260414,0.2809120018260414,0.394600906341419,0.394600906341419,-0.16586221949357435,-0.16586221949357435,-0.16586221949357435,0.7979714946332979,0.7979714946332979,0.7979714946332979,9.816149789915921e-08,1.435975303674544e-06,98161.49789915922,1435975.303674544
2,5,"ARX(1,1)",True,True,-184.396180395308,382.792360790616,406.38682698750966,True,eligible,True,True,-150.0,True,True,0.3943967645116395,0.3943967645116395,0.3943967645116395,2.6294749084310305,2.6294749084310305,2.6294749084310305,0.2812377941266308,0.2812377941266308,0.2812377941266308,0.3943967645116395,0.3943967645116395,-0.16546765861504412,-0.16546765861504412,-0.16546765861504412,0.7959131140633517,0.7959131140633517,0.7959131140633517,9.817375204941465e-08,1.4359994971900353e-06,98173.75204941464,1435999.4971900354
2,6,"ARX(1,1)",True,True,-184.3961823208036,382.7923646416072,406.3868308385008,True,eligible,True,True,-150.0,True,True,0.3945386240069079,0.3945386240069079,0.3945386240069079,2.6259914518611938,2.6259914518611938,2.6259914518611938,0.2809360834122975,0.2809360834122975,0.2809360834122975,0.3945386240069079,0.3945386240069079,-0.1657362607137999,-0.1657362607137999,-0.1657362607137999,0.7975857518518996,0.7975857518518996,0.7975857518518996,9.81533168159212e-08,1.4359268788991786e-06,98153.3168159212,1435926.8788991785
2,7,"ARX(1,1)",True,True,-184.3961817864207,382.7923635728414,406.386829769735,True,eligible,True,True,-150.0,True,True,0.39441431259213955,0.39441431259213955,0.39441431259213955,2.629809244864997,2.629809244864997,2.629809244864997,0.2810582877646023,0.2810582877646023,0.2810582877646023,0.39441431259213955,0.39441431259213955,-0.16573799539284145,-0.16573799539284145,-0.16573799539284145,0.7967405112057695,0.7967405112057695,0.7967405112057695,9.816496253795904e-08,1.4360193265754627e-06,98164.96253795904,1436019.3265754627
2,8,"ARX(1,1)",True,True,-184.39619405586848,382.79238811173695,406.3868543086306,True,eligible,True,True,-150.0,True,True,0.3946824149204149,0.3946824149204149,0.3946824149204149,2.624214705499511,2.624214705499511,2.624214705499511,0.28083407828141,0.28083407828141,0.28083407828141,0.3946824149204149,0.3946824149204149,-0.16591288989948144,-0.16591288989948144,-0.16591288989948144,0.7986449366336579,0.7986449366336579,0.7986449366336579,9.814159056505981e-08,1.4360180731240026e-06,98141.5905650598,1436018.0731240027
2,9,"ARX(1,1)",True,True,-184.39617961386628,382.79235922773256,406.3868254246262,True,eligible,True,True,-150.0,True,True,0.3943972226937305,0.3943972226937305,0.3943972226937305,2.6281374875584955,2.6281374875584955,2.6281374875584955,0.2813833550427445,0.2813833550427445,0.2813833550427445,0.3943972226937305,0.3943972226937305,-0.1652736110215945,-0.1652736110215945,-0.1652736110215945,0.7954285166417074,0.7954285166417074,0.7954285166417074,9.817090235297097e-08,1.4360374341405504e-06,98170.90235297097,1436037.4341405504
