seed,draw,random_state,mean_type,success,optimizer_success,status,loglik,AIC,BIC,selection_eligible,selection_reason,param_shape_p,param_shape_n,param_sigma_p,param_sigma_n,param_c,param_rho_1,param_phi_1,param_rho_2,param_phi_2,selection_p_t_q05,selection_p_t_median,selection_p_t_q95,selection_n_t_q05,selection_n_t_median,selection_n_t_q95,selection_cond_var_q05,selection_cond_var_median,selection_cond_var_q95,selection_cond_skewness_q05,selection_cond_skewness_median,selection_cond_skewness_q95,selection_cond_excess_kurtosis_q05,selection_cond_excess_kurtosis_median,selection_cond_excess_kurtosis_q95
39,20,390020,constant,True,True,0,-199.84387975882495,407.68775951765,421.1703116301606,True,eligible,2.6757760032421234,0.1859130451194159,0.2982638252324515,1.5728899435281074,,,,,,2.6757760032421234,2.6757760032421234,2.6757760032421234,0.1859130451194159,0.1859130451194159,0.1859130451194159,0.6979862081940131,0.6979862081940131,0.6979862081940131,-1.3048900792437779,-1.3048900792437779,-1.3048900792437779,6.954444393212638,6.954444393212638,6.954444393212638
39,21,390021,constant,True,True,0,-199.84387967883575,407.6877593576716,421.1703114701822,True,eligible,2.6756753089603533,0.1859838093227942,0.2982684675508735,1.572493671248803,,,,,,2.6756753089603533,2.6756753089603533,2.6756753089603533,0.1859838093227942,0.1859838093227942,0.1859838093227942,0.6979279139579033,0.6979279139579033,0.6979279139579033,-1.3043457995533028,-1.3043457995533028,-1.3043457995533028,6.950165877737617,6.950165877737617,6.950165877737617
39,22,390022,constant,True,True,0,-199.84387957581023,407.6877591516205,421.1703112641312,True,eligible,2.675844364421902,0.1859388563507865,0.2982727365585581,1.572816432289235,,,,,,2.675844364421902,2.675844364421902,2.675844364421902,0.1859388563507865,0.1859388563507865,0.1859388563507865,0.698027373453532,0.698027373453532,0.698027373453532,-1.3048717160999173,-1.3048717160999173,-1.3048717160999173,6.954134267030226,6.954134267030226,6.954134267030226
39,23,390023,constant,True,True,0,-199.84387994605623,407.6877598921125,421.1703120046232,True,eligible,2.6766047610107644,0.1859549505672964,0.2982144260771358,1.5726348190863446,,,,,,2.6766047610107644,2.6766047610107644,2.6766047610107644,0.1859549505672964,0.1859549505672964,0.1859549505672964,0.697935512476501,0.697935512476501,0.697935512476501,-1.3045386917825612,-1.3045386917825612,-1.3045386917825612,6.951508925085912,6.951508925085912,6.951508925085912
39,24,390024,constant,True,True,0,-199.8438804272142,407.6877608544284,421.17031296693904,True,eligible,2.676569296986735,0.1860147163108087,0.2981962445585429,1.572175386641989,,,,,,2.676569296986735,2.676569296986735,2.676569296986735,0.1860147163108087,0.1860147163108087,0.1860147163108087,0.6977823870274309,0.6977823870274309,0.6977823870274309,-1.3037636496680087,-1.3037636496680087,-1.3037636496680087,6.945695705951239,6.945695705951239,6.945695705951239
39,25,390025,constant,True,True,0,-199.8438797373853,407.6877594747706,421.1703115872812,True,eligible,2.6756783454395805,0.1859644364174525,0.298264313175195,1.572561296694018,,,,,,2.6756783454395805,2.6756783454395805,2.6756783454395805,0.1859644364174525,0.1859644364174525,0.1859644364174525,0.697913201069535,0.697913201069535,0.697913201069535,-1.304387503749618,-1.304387503749618,-1.304387503749618,6.950621888019498,6.950621888019498,6.950621888019498
39,26,390026,constant,True,True,0,-199.8438795658938,407.6877591317876,421.1703112442983,True,eligible,2.676163675624092,0.1859435803676222,0.2982446655880447,1.5727887690809803,,,,,,2.676163675624092,2.676163675624092,2.676163675624092,0.1859435803676222,0.1859435803676222,0.1859435803676222,0.6980064753006173,0.6980064753006173,0.6980064753006173,-1.3048552805238083,-1.3048552805238083,-1.3048552805238083,6.953794739223067,6.953794739223067,6.953794739223067
39,27,390027,constant,True,True,0,-199.84387972750744,407.6877594550149,421.1703115675255,True,eligible,2.6758178387018314,0.1860012852647371,0.2982760164552835,1.572352651251523,,,,,,2.6758178387018314,2.6758178387018314,2.6758178387018314,0.1860012852647371,0.1860012852647371,0.1860012852647371,0.6979133682711611,0.6979133682711611,0.6979133682711611,-1.3040742357109663,-1.3040742357109663,-1.3040742357109663,6.948379179292125,6.948379179292125,6.948379179292125
39,28,390028,constant,True,True,0,-199.84387952400945,407.6877590480189,421.1703111605296,True,eligible,2.6756580683432536,0.1859548157528969,0.2982752878106346,1.5726583201098543,,,,,,2.6756580683432536,2.6756580683432536,2.6756580683432536,0.1859548157528969,0.1859548157528969,0.1859548157528969,0.6979618687465887,0.6979618687465887,0.6979618687465887,-1.3045657962920905,-1.3045657962920905,-1.3045657962920905,6.951970678607008,6.951970678607008,6.951970678607008
39,29,390029,constant,True,True,0,-199.8441678650316,407.6883357300632,421.1708878425738,True,eligible,3.034581991228844,0.1608090618654188,0.2816559203690956,1.756565514979075,,,,,,3.034581991228844,3.034581991228844,3.034581991228844,0.1608090618654188,0.1608090618654188,0.1608090618654188,0.7369135276505434,0.7369135276505434,0.7369135276505434,-1.6075371605408373,-1.6075371605408373,-1.6075371605408373,9.300430827322604,9.300430827322604,9.300430827322604
