model_id,distribution,distribution_label,mean_spec,mean_label,vol_family,vol_spec,vol_order,p,o,q,nobs,num_parameters,loglikelihood,aic,bic,persistence_proxy,stable_by_proxy,implied_initial_variance,implied_initial_variance_status,initialization_method,restart_attempts,valid_restart_attempts,optimizer_success,convergence_flag,covariance_type,selection_status,selected_checks_passed,resid_skewness,resid_excess_kurtosis,std_resid_skewness,std_resid_excess_kurtosis
M105,mix_normal,Gaussian mixture,Constant_anchor,Constant,EGARCH,"EGARCH(2,1)","(2,1)",2,2,1,688,9,45.697172596194804,-73.39434519238961,-32.590245650989516,0.9295129459769795,True,0.06915989516975041,proxy_from_log_variance,arch_default,50,50,True,0,robust,passed_checks,True,-0.4131294481798554,6.7278829224832695,0.2128618585158475,2.0022421975894638
M108,mix_normal,Gaussian mixture,Constant_anchor,Constant,EGARCH,"EGARCH(2,2)","(2,2)",2,2,2,688,10,45.69717259720326,-71.39434519440653,-26.05645681507309,0.9295115847147946,True,0.06915761661250973,proxy_from_log_variance,arch_default,50,50,True,0,robust,passed_checks,True,-0.4131294481798554,6.7278829224832695,0.21285224800680747,2.0022516906765926
M097,mix_normal,Gaussian mixture,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",1,0,1,688,6,40.806740383918324,-69.61348076783665,-42.41074774023659,0.9813177513724807,True,0.37312830208351466,exact,arch_default,50,50,True,0,robust,passed_checks,True,-0.4131294481798554,6.7278829224832695,0.19010160201507012,1.8368508176958205
M100,mix_normal,Gaussian mixture,Constant_anchor,Constant,GARCH,"GARCH(1,2)","(1,2)",1,0,2,688,7,42.20866352024672,-70.41732704049345,-38.68080517496004,0.9828127451349667,True,0.4783482630272487,exact,arch_default,50,50,True,0,robust,passed_checks,True,-0.4131294481798554,6.7278829224832695,0.19327497069642002,1.849950467681401
M103,mix_normal,Gaussian mixture,Constant_anchor,Constant,GARCH,"GARCH(2,1)","(2,1)",2,0,1,688,7,40.80674038920628,-67.61348077841257,-35.87695891287916,0.9813169663137757,True,0.3731095252646446,exact,arch_default,50,50,True,0,robust,passed_checks,True,-0.4131294481798554,6.7278829224832695,0.19010347482342554,1.8368561727650725
M106,mix_normal,Gaussian mixture,Constant_anchor,Constant,GARCH,"GARCH(2,2)","(2,2)",2,0,2,688,8,42.208663522078126,-68.41732704415625,-32.147016340689504,0.9828121650544084,True,0.47832522289633456,exact,arch_default,50,50,True,0,robust,passed_checks,True,-0.4131294481798554,6.7278829224832695,0.19327454512665063,1.8499513113949257
M098,mix_normal,Gaussian mixture,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",1,1,1,688,7,43.39677386417621,-72.79354772835242,-41.05702586281902,0.9551468815049047,True,0.1446903706186434,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-0.4131294481798554,6.7278829224832695,0.04800447492742697,2.1386842533789396
M101,mix_normal,Gaussian mixture,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,2)","(1,2)",1,1,2,688,8,44.95030834741472,-73.90061669482944,-37.63030599136269,0.9445549302906904,True,0.1403718081223021,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-0.4131294481798554,6.7278829224832695,0.07297049977931969,2.1232850375450294
M104,mix_normal,Gaussian mixture,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(2,1)","(2,1)",2,2,1,688,9,43.39677388142132,-68.79354776284264,-27.989448221442544,0.9551431064596575,True,0.14467906404872818,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-0.4131294481798554,6.7278829224832695,0.047990328681759835,2.1386908935632647
M107,mix_normal,Gaussian mixture,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(2,2)","(2,2)",2,2,2,688,10,45.08941798875948,-70.17883597751896,-24.840947598185522,0.9312598774032337,True,0.1272611262479155,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-0.4131294481798554,6.7278829224832695,0.09899814688895045,1.9903407793073074
