model_id,distribution,distribution_label,mean_spec,mean_label,vol_family,vol_spec,vol_order,phase,attempt,start_type,loglikelihood,optimizer_success,convergence_flag,stable_by_proxy,persistence_proxy,implied_initial_variance,implied_initial_variance_status,error_message
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,44,random_44,21.367664023761616,True,0,True,0.9037406994434388,0.08942822379600893,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,45,random_45,21.367664028993577,True,0,True,0.9037400532651801,0.08942818734446042,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,46,random_46,21.36766404635828,True,0,True,0.9037406608015768,0.08942746310263539,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,47,random_47,21.367664047043988,True,0,True,0.9037399424979644,0.08942678944305718,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,48,random_48,21.36766402127924,True,0,True,0.9037406749907735,0.0894295997580841,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,49,random_49,21.367664043780003,True,0,True,0.9037413608804161,0.08942745497849817,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,50,random_50,21.367664005978636,True,0,True,0.903735686393113,0.08942387073078502,exact_under_symmetry,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,1,default,16.568546557025105,True,0,True,0.8330219143511384,0.06591832061125115,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,2,random_2,16.568546152417106,True,0,True,0.8329865570468048,0.0659193344214087,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,3,random_3,16.56854662235789,True,0,True,0.833017152211269,0.06591670556711443,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,4,random_4,16.568546568735684,True,0,True,0.8330240006093357,0.06591868260343683,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,5,random_5,16.568546580565684,True,0,True,0.8330093164216743,0.06591653999853239,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,6,random_6,16.56854659546337,True,0,True,0.833022377751291,0.0659180973195597,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,7,random_7,16.5685465156797,True,0,True,0.833013091868303,0.06591282502737564,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,8,random_8,16.568546626427796,True,0,True,0.8330152239000672,0.0659163631233419,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,9,random_9,16.568546508209195,True,0,True,0.8330037680441557,0.06591783728733074,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,10,random_10,16.56854615193904,True,0,True,0.8330039364794327,0.0659221170994328,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,11,random_11,16.568546280735156,True,0,True,0.8329897813819517,0.0659171385179007,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,12,random_12,16.568546622578683,True,0,True,0.8330134142018649,0.0659157708831659,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,13,random_13,16.568546574569176,True,0,True,0.8330197915045671,0.06591389142274577,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,14,random_14,16.56854648853823,True,0,True,0.8330123471944744,0.06591173037063233,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,15,random_15,16.56854662643682,True,0,True,0.8330153710026604,0.06591634206079833,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,16,random_16,16.568546464450797,True,0,True,0.8330333051790406,0.06591506593706498,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,17,random_17,16.56854662072339,True,0,True,0.833013308860213,0.06591555324154834,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,18,random_18,16.56854655418679,True,0,True,0.8330194824302846,0.06591583555910131,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,19,random_19,16.568546578684114,True,0,True,0.8330056700740064,0.06591619711454799,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,20,random_20,16.568546581154198,True,0,True,0.8330113458938965,0.06591861375829462,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,21,random_21,16.568546622591477,True,0,True,0.8330156811650508,0.06591710736009587,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,22,random_22,16.568546624419824,True,0,True,0.8330134479519778,0.06591631796137881,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,23,random_23,16.56854662591569,True,0,True,0.8330144852142951,0.06591627443925274,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,24,random_24,16.56854659311504,True,0,True,0.8330146458687455,0.06591571633207197,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,25,random_25,16.56854662025582,True,0,True,0.8330159885741133,0.06591640497141539,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,26,random_26,-283603498.6868321,True,0,False,0.9999999999999831,0.0,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,27,random_27,16.568546552203284,True,0,True,0.8330119936964634,0.06591636567445518,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,28,random_28,16.56854655370054,True,0,True,0.8330146071435244,0.06591785614812282,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,29,random_29,16.568546612645882,True,0,True,0.8330153873316142,0.06591669511971815,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,30,random_30,16.56854662267044,True,0,True,0.8330142267686976,0.06591605784867369,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,31,random_31,16.56854642450808,True,0,True,0.8330396591760626,0.06591762113261507,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,32,random_32,16.568546587558906,True,0,True,0.8330066878744079,0.0659148037557859,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,33,random_33,16.568546318395576,True,0,True,0.8330267179677664,0.06591630691999976,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,34,random_34,16.568546618125566,True,0,True,0.8330159214637427,0.06591736900454531,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,35,random_35,16.56854650378698,True,0,True,0.8330083365502838,0.06591332781854008,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,36,random_36,16.56854659201531,True,0,True,0.8330129247454074,0.06591680824047426,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,37,random_37,16.56854628140347,True,0,True,0.8330129116504075,0.06591345018241952,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,38,random_38,16.56854653243957,True,0,True,0.8330042422562796,0.06591467969082987,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,39,random_39,16.568546204772197,True,0,True,0.8330267388021259,0.06591223805876982,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,40,random_40,16.56854658849251,True,0,True,0.8330159574157839,0.06591678799212963,proxy_from_log_variance,
