model_id,parameter,coef,std_err,t_value,p_value
M024,beta[2],0.0,0.4172580123577535,0.0,1.0
M024,gamma[1],-0.11154992132435582,0.06748692021169009,-1.6529117194035643,0.09834883165911242
M024,gamma[2],0.18391099812632217,0.07635091514867359,2.4087595776449207,0.01600683879402707
M024,omega,-0.3173724300019503,0.22113941150467445,-1.4351690087374664,0.15123894258231002
M025,Const,0.023638472875176227,0.019237246681137382,1.2287867004561708,0.21915178922642453
M025,Inflation_lag_1,0.4542157416375272,0.04658535191988157,9.750183757733474,1.8413466200420234e-22
M025,Inflation_lag_2,-0.027466578172473312,0.04896163855491585,-0.5609815966772952,0.5748100829667505
M025,SPF,0.5682396989350211,0.07981962290930718,7.119047650483988,1.0867533720407696e-12
M025,alpha[1],0.2682146654125281,0.07856238161522898,3.4140342985800705,0.0006400851727971161
M025,beta[1],0.6290630753343932,0.08087632377139055,7.7780869109795026,7.362948161276307e-15
M025,omega,0.006912674767857323,0.0025108543180314773,2.7531166257693895,0.005903086311137804
M026,Const,0.02775099467171408,0.018752973498746203,1.4798183697945007,0.1389217249452485
M026,Inflation_lag_1,0.45439333429614814,0.04638766081946557,9.79556473141823,1.176381908069598e-22
M026,Inflation_lag_2,-0.03610613588657026,0.04930408001352234,-0.7323153758607328,0.463976096610336
M026,SPF,0.5752624257882223,0.07780837478234637,7.39332272904306,1.4320432945916004e-13
M026,alpha[1],0.3177441612004208,0.08221844267480619,3.8646336620261197,0.00011125605306479429
M026,beta[1],0.6351649578317003,0.07617689822846749,8.338025997418962,7.554096832311972e-17
M026,gamma[1],-0.1067569668706566,0.08462820293253732,-1.2614821439108137,0.20713518933529307
M026,omega,0.006723985437828171,0.00226037296218308,2.974723884209848,0.0029325237584659396
M027,Const,0.02494200921678054,0.01885113383266689,1.3231039277626289,0.18580081871178755
M027,Inflation_lag_1,0.46221298792853716,0.046866468139851056,9.862338816513304,6.062059633023722e-23
M027,Inflation_lag_2,-0.02963944364099765,0.05260867713997492,-0.5633945815086081,0.5731662260519459
M027,SPF,0.5805220104269347,0.08247868147462223,7.03844920951549,1.9439113332431217e-12
