seed,draw,random_state,mean_type,success,status,loglik,AIC,BIC,corrected_loglik,corrected_AIC,corrected_BIC,selection_eligible,selection_reason,param_p0,param_n0,param_rho_n,param_phi_n_plus,param_phi_n_minus,param_sigma_p,param_sigma_n,param_c,param_rho_1,param_phi_1,param_rho_2,param_phi_2,selection_p_t_q05,selection_p_t_median,selection_p_t_q95,selection_n_t_q05,selection_n_t_median,selection_n_t_q95,selection_cond_var_q05,selection_cond_var_median,selection_cond_var_q95,selection_cond_skewness_q05,selection_cond_skewness_median,selection_cond_skewness_q95,selection_cond_excess_kurtosis_q05,selection_cond_excess_kurtosis_median,selection_cond_excess_kurtosis_q95
33,26,330026,"ARX(2,1)",True,0,-167.71180446125877,357.42360892251753,394.50062723192184,-167.71180446125877,357.42360892251753,394.50062723192184,True,eligible,2.838406103239184,0.0431976429555951,0.5417303758987149,0.8347971848729913,0.0458226994533848,0.2294478789180673,0.4694108055160185,0.1245078808362612,0.1946084329376521,0.6939874216901025,0.0621782733116208,,2.838406103239184,2.838406103239184,2.838406103239184,0.11365310427911016,0.38769845996198693,3.804617950369447,0.1744747261788607,0.23485966233287842,0.9877659276389661,-0.7184727701504434,-0.011628097199666454,0.045062585842515136,0.08031108072369061,0.16014473829994189,1.1555463202135328
33,27,330027,"ARX(2,1)",True,0,-167.72058092449205,357.4411618489841,394.5181801583884,-167.72058092449205,357.4411618489841,394.5181801583884,True,eligible,2.8999922021316986,0.0438115531375198,0.540535269949642,0.8375270573469938,0.045226633787744,0.2263137247521077,0.4683977014775374,0.1242301561681592,0.1936381786925563,0.6974114393820242,0.0605756363588737,,2.8999922021316986,2.8999922021316986,2.8999922021316986,0.11455489124857735,0.38914635085906013,3.8322083311944066,0.17366444795745722,0.2339088275200812,0.9893042542212681,-0.7204025942235107,-0.012751631076550349,0.04368502675159645,0.07872928512166402,0.1580336875389987,1.1524199412982021
33,28,330028,"ARX(2,1)",True,0,-167.7183575672634,357.4367151345268,394.51373344393113,-167.7183575672634,357.4367151345268,394.51373344393113,True,eligible,2.6841717632853075,0.0422817367613455,0.5388540443204484,0.8426729995902148,0.0457194945940709,0.2376828945764868,0.4667671170442547,0.1199610318773541,0.1953218250638341,0.7028229905737937,0.0586060284202542,,2.6841717632853075,2.6841717632853075,2.6841717632853075,0.11086403114900929,0.38769576746705964,3.836568946652564,0.17579145789629017,0.23610521503892026,0.9875165312116383,-0.7082386360216518,-0.0067704484929133335,0.049534508586232213,0.08297380247978385,0.16181770995318367,1.1440845607263257
33,29,330029,"ARX(2,1)",True,0,-167.7090967897133,357.4181935794266,394.4952118888309,-167.7090967897133,357.4181935794266,394.4952118888309,True,eligible,2.7716375208142283,0.0418680551048979,0.5433574427416747,0.832191640898585,0.0460437623829471,0.2328004174656489,0.4694876356944555,0.123547714313653,0.1952273813841103,0.6929468136735085,0.0630424547938807,,2.7716375208142283,2.7716375208142283,2.7716375208142283,0.11138576476841164,0.38697028616533685,3.794700336678618,0.17476326113867963,0.23550722656932338,0.9866344500290302,-0.7154414981992391,-0.010151609703560369,0.04688547172191697,0.08131493886535464,0.16164955238143314,1.1550241990685584
33,30,330030,"ARX(2,1)",True,0,-167.7091771319903,357.4183542639806,394.4953725733849,-167.7091771319903,357.4183542639806,394.4953725733849,True,eligible,2.7702680667732027,0.0427071653302918,0.5418885919080589,0.8336401063738175,0.0462560282975028,0.2331067115908041,0.4702192709113721,0.1235530149249475,0.1952751768597025,0.6940550771841328,0.0624814539512266,,2.7702680667732027,2.7702680667732027,2.7702680667732027,0.11262078848600143,0.3857477679090785,3.7763338003678277,0.1754340237955496,0.23582408215557593,0.9855035492202409,-0.7150581586112186,-0.010030693770471832,0.046762444654221774,0.08211338596242021,0.16222907039090437,1.1567815718606296
33,31,330031,"ARX(2,1)",True,0,-167.71622935387052,357.43245870774103,394.50947701714534,-167.71622935387052,357.43245870774103,394.50947701714534,True,eligible,2.718928883676121,0.0421257125754191,0.5427289103605414,0.8323120008777324,0.0461048216376793,0.2353974323365676,0.4709516084986379,0.1216438233812443,0.1995129702367665,0.6914714277118459,0.0614764817181318,,2.718928883676121,2.718928883676121,2.718928883676121,0.11165068120434911,0.38505595265714493,3.744546493111808,0.17542476394152592,0.23606480028307386,0.9811844074499386,-0.7113420259223742,-0.009511470884156548,0.047605574424779154,0.08304530179274197,0.16374339487554052,1.15532808124176
33,32,330032,"ARX(2,1)",True,0,-167.74732013423966,357.4946402684793,394.5716585778836,-167.74732013423966,357.4946402684793,394.5716585778836,True,eligible,2.54876979433371,0.0420120183544784,0.5436272301709513,0.8350538800082478,0.0449820349931853,0.2447859853745842,0.45864746414479,0.1231729678939976,0.198710339781231,0.6995463997914998,0.0530427364255766,,2.54876979433371,2.54876979433371,2.54876979433371,0.11280420773906498,0.3998208568012994,4.009428578294627,0.17645195209761305,0.23682805580983168,0.9961360989681614,-0.6988900218944673,-0.0023806048958444764,0.05300208882925934,0.08485674781707597,0.1610601439206553,1.119416977498807
33,33,330033,"ARX(2,1)",True,0,-167.7141637441784,357.4283274883568,394.5053457977611,-167.7141637441784,357.4283274883568,394.5053457977611,True,eligible,2.8105488101568987,0.0443639937630563,0.5335843359433629,0.8508995105959337,0.0458819862438987,0.2308241690982995,0.4626263520443997,0.1255838391366649,0.193942774858273,0.6965164685639611,0.0593150498415006,,2.8105488101568987,2.8105488101568987,2.8105488101568987,0.11384748034796113,0.3969709975944102,3.949055425508979,0.17411146558393684,0.23470645020753658,0.9949347187192401,-0.7128838902222665,-0.009480629057065357,0.04658504432013953,0.07915977086516808,0.15697214471339543,1.1332107989003668
33,34,330034,"ARX(2,1)",True,0,-167.74433053055577,357.48866106111154,394.56567937051585,-167.74433053055577,357.48866106111154,394.56567937051585,True,eligible,2.689756549218532,0.039927624238622,0.5651096485801866,0.7903592364559614,0.045885168455557,0.2364195268244779,0.4572050668180116,0.1228586679510916,0.2020064970542185,0.6886117205135873,0.0607142960556023,,2.689756549218532,2.689756549218532,2.689756549218532,0.11563511819467855,0.4132807311646457,3.9247515813658334,0.1745137280577341,0.2367325172338257,0.970757999237835,-0.6791094524803335,-0.007909113388800182,0.048984377936381315,0.08073631559457216,0.15877229310309088,1.0794008807509394
33,35,330035,"ARX(2,1)",True,0,-167.72053374905718,357.44106749811436,394.5180858075187,-167.72053374905718,357.44106749811436,394.5180858075187,True,eligible,2.9006662784618884,0.0443457683641112,0.5442308832771744,0.8300033989524119,0.044897430001647,0.226230277267649,0.4645372519033096,0.1249894526456672,0.1944702893859393,0.6934378137076802,0.0621987386340252,,2.9006662784618884,2.9006662784618884,2.9006662784618884,0.11731020169349551,0.39658367472034084,3.8872718447164845,0.17377143981040602,0.23403721937875216,0.9873097787621465,-0.7121864814198859,-0.012340152079615474,0.04365124716936479,0.07836514693910816,0.15639541915113514,1.1317094909101768
