seed,draw,random_state,mean_type,success,status,loglik,AIC,BIC,corrected_loglik,corrected_AIC,corrected_BIC,selection_eligible,selection_reason,param_p0,param_n0,param_rho,param_phi_plus,param_phi_minus,param_sigma_p,param_sigma_n,param_c,param_rho_1,param_phi_1,param_rho_2,param_phi_2,selection_p_t_q05,selection_p_t_median,selection_p_t_q95,selection_n_t_q05,selection_n_t_median,selection_n_t_q95,selection_cond_var_q05,selection_cond_var_median,selection_cond_var_q95,selection_cond_skewness_q05,selection_cond_skewness_median,selection_cond_skewness_q95,selection_cond_excess_kurtosis_q05,selection_cond_excess_kurtosis_median,selection_cond_excess_kurtosis_q95
35,20,350020,"ARX(1,1)",True,0,-170.0643781432133,360.1287562864266,393.8351365677032,-170.0643781432133,360.1287562864266,393.8351365677032,True,eligible,1.6799581228494322,0.0505776466407679,0.519125697700519,0.5561983883401306,0.0442147853619308,0.1843852275418519,0.646484339353081,0.1277842013492938,0.2261587780951726,0.7136089253925954,,,3.582463251301955,4.718436318660433,19.799997966623717,0.11240014794432644,0.20481817713001654,1.431642967444772,0.1687730135947803,0.24601910217631498,1.271502317728192,-0.5253986975548474,-0.05095025097905129,-0.01582459077277634,0.1426462366831844,0.2473833799694321,1.6377537661336328
35,21,350021,"ARX(1,1)",True,0,-170.0643571370337,360.1287142740674,393.835094555344,-170.0643571370337,360.1287142740674,393.835094555344,True,eligible,1.6877256402546,0.0506242146418666,0.5176240138746211,0.558212026388948,0.0448061654074025,0.1842501651354964,0.6464521059516739,0.1277530017659986,0.2261664056572463,0.7137374372572008,,,3.5870982637402733,4.729558484897163,19.845060737028145,0.11211172912279453,0.2049301933824711,1.4328376725984298,0.16862678240400944,0.24620002932409676,1.2724858993033716,-0.5259098691941573,-0.05086598170720215,-0.015700316533511678,0.14227986105506787,0.24743908199240047,1.638616116631711
35,22,350022,"ARX(1,1)",True,0,-170.06435880764192,360.12871761528385,393.83509789656046,-170.06435880764192,360.12871761528385,393.83509789656046,True,eligible,1.6891468924977775,0.0505996844575616,0.5176948623091805,0.5582793182991038,0.0447492959662586,0.1841272712475286,0.6470333937723416,0.1276467491782398,0.2260726250772498,0.7138986788040936,,,3.5907640661079507,4.735166760185779,19.87599635000379,0.11207046194269195,0.20475600087647183,1.4308746967308952,0.1686556896271881,0.24625721076832674,1.2728918207664874,-0.5270468757758723,-0.051126378879040826,-0.015885477406557113,0.14261873877598422,0.24798080649578497,1.6418068834673194
35,23,350023,"ARX(1,1)",True,0,-170.06435245337116,360.1287049067423,393.8350851880189,-170.06435245337116,360.1287049067423,393.8350851880189,True,eligible,1.684588703582934,0.0505784381452795,0.5183395398317662,0.5571391905520302,0.0445994898510567,0.1842733688320863,0.6468815625099925,0.1276882797165361,0.2261466112797947,0.7137780609788933,,,3.5861255598755855,4.725973635417351,19.8264510365957,0.1121924896845928,0.20469932102613742,1.4300666103147743,0.168720491290978,0.24613595736319652,1.2716599479898048,-0.5260926852153789,-0.05104091525178516,-0.01586006036210712,0.14268295927800545,0.24775938361029706,1.6396387866352855
35,24,350024,"ARX(1,1)",True,0,-170.06458002279544,360.1291600455909,393.8355403268675,-170.06458002279544,360.1291600455909,393.8355403268675,True,eligible,1.6935124809164877,0.0509188577887043,0.5177287029044187,0.5581347084114738,0.0447191722461492,0.1837886149108755,0.6423303368448263,0.1273518405739867,0.2255071409458743,0.714977849071567,,,3.6002759253796928,4.74847498256349,19.936551186671988,0.11283558833306591,0.20684860552311893,1.4502836671770958,0.16816567741338936,0.2457385052573895,1.271791926335672,-0.52116786940624,-0.050012434197541276,-0.015105465682695357,0.13989423797861403,0.2437770985098531,1.617764772752698
35,25,350025,"ARX(1,1)",True,0,-170.06435500948612,360.12871001897224,393.83509030024885,-170.06435500948612,360.12871001897224,393.83509030024885,True,eligible,1.684585594369128,0.0505717739718927,0.5180168272499224,0.5576337641274761,0.0447252876734929,0.1843460271605504,0.6466761904053342,0.1276560052045021,0.2260905092681918,0.7139110362712866,,,3.5835487238627617,4.72363647526376,19.816036260622184,0.11210009560439209,0.20475809229310987,1.4312145196199546,0.16866052623724484,0.24615330660507173,1.2719371669012607,-0.5258132699430419,-0.05090212987614504,-0.015731433909664052,0.14245768993775124,0.2475834717316818,1.639080469790649
35,26,350026,"ARX(1,1)",True,0,-170.06441364281352,360.12882728562704,393.83520756690365,-170.06441364281352,360.12882728562704,393.83520756690365,True,eligible,1.6893823498122638,0.0508472492400885,0.5182140949254189,0.5567872420660093,0.0445036234307437,0.1840293968358613,0.644840015336121,0.1279906373547783,0.2260024285107888,0.7137284657485821,,,3.5950846342187077,4.736184611553016,19.87213321895584,0.11274304104840217,0.20569213538946585,1.4384565533875997,0.16863473884105465,0.24593013161804542,1.2711429923442283,-0.5236996627778391,-0.05063436412517922,-0.01564838933070979,0.14170365204665733,0.24598469824418445,1.6290546620237516
35,27,350027,"ARX(1,1)",True,0,-170.064405190446,360.128810380892,393.8351906621686,-170.064405190446,360.128810380892,393.8351906621686,True,eligible,1.6913145254651256,0.0503638912534376,0.5177442668310227,0.5587483577515144,0.0446222171442626,0.1840080876460095,0.648168410179092,0.1277274876118095,0.2261252250098215,0.7137930995724711,,,3.5957560089105103,4.742252914976017,19.916151334315426,0.11156908785582756,0.2039796107066764,1.4268918007533469,0.1686212780100531,0.2462642098936266,1.2738095443924546,-0.5289455892529893,-0.05131085621683879,-0.015957295036164443,0.14288719746907186,0.24863773123889066,1.648096721400277
35,28,350028,"ARX(1,1)",True,0,-170.06436361218022,360.12872722436043,393.83510750563704,-170.06436361218022,360.12872722436043,393.83510750563704,True,eligible,1.6905157006240576,0.0505930751679024,0.5176348731085393,0.5579434340889016,0.0446981030858255,0.1840553086158995,0.6471698525477881,0.1277287878565556,0.2258883688907716,0.7139644517030241,,,3.5931283769988993,4.737609339913044,19.89013725187356,0.11203207691813902,0.20461242546154199,1.4302024929759176,0.16864436067443236,0.24619052388479495,1.272815402658615,-0.5272875368337608,-0.05116526407318826,-0.015926150482428757,0.14265538137675038,0.24797719479136315,1.6422523800086126
35,29,350029,"ARX(1,1)",True,0,-170.0643525476899,360.1287050953798,393.8350853766564,-170.0643525476899,360.1287050953798,393.8350853766564,True,eligible,1.6874335082017151,0.0505920950991204,0.5180635183668661,0.5574332660654164,0.0446365968943492,0.184164778237665,0.6470286090556518,0.12771642609736,0.2260869058295939,0.7138028748924272,,,3.5899709559246884,4.7318435782005634,19.854755679457675,0.11214463328206617,0.20466441947199498,1.429849244188581,0.16870874871527936,0.24617030088440217,1.272007804443264,-0.5265878108733605,-0.05111047692788491,-0.01590681932255285,0.14270795979831288,0.2478818110117525,1.6406491405186667
