seed,draw,mean_type,success,optimizer_success,status,loglik,AIC,BIC,stored_loglik,stored_AIC,stored_BIC,corrected_loglik,corrected_AIC,corrected_BIC,corrected_loglik_delta,selection_eligible,selection_reason,selection_shape_reference,selection_high_shape_density,selection_loglik_upper_threshold,selection_loglik_plausible,selection_bounds_ok,selection_constraints_ok,selection_mean_stationary,selection_implied_variance_bounds_ok,selection_recursion_init_p,selection_recursion_init_n,selection_shape_max,selection_max_p_t,selection_max_n_t,selection_sigma_min,selection_persistence_p,selection_persistence_n,selection_cond_var_min,selection_cond_var_median,selection_cond_var_max,selection_p_t_q05,selection_p_t_median,selection_p_t_q95,selection_n_t_q05,selection_n_t_median,selection_n_t_q95,selection_cond_var_q05,selection_cond_var_q95,selection_cond_skewness_q05,selection_cond_skewness_median,selection_cond_skewness_q95,selection_cond_excess_kurtosis_q05,selection_cond_excess_kurtosis_median,selection_cond_excess_kurtosis_q95,selection_cond_var_lower_min,selection_cond_var_lower_max,selection_cond_var_upper_min,selection_cond_var_upper_max
43,4,constant,True,True,0,-178.16150996725722,372.32301993451443,399.28812415953576,-178.1615099672527,372.3230199345054,399.2881241595267,-178.16150996725722,372.32301993451443,399.28812415953576,-4.519051799434237e-12,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,113.27671203354959,113.27671203354959,5.422010683689174,0.1517871691446068,0.8102227961280499,0.8721494684966583,0.23878351544832743,0.3540360200167957,12.769941531522045,4.710113465202997,6.697176048706781,48.67081572025316,0.05630264076231934,0.058071884391609464,0.31923987233320733,0.24600513514637795,1.5708739158833085,-2.1431830961942726,-0.3668608929805029,-0.056174829493231986,1.8283611923452607,1.9634736859673334,10.310167282839084,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172
43,5,constant,True,True,0,-178.16151110704095,372.3230222140819,399.2881264391032,-178.1615111070323,372.3230222140646,399.28812643908594,-178.16151110704095,372.3230222140819,399.2881264391032,-8.640199666842818e-12,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,113.31461988389383,113.31461988389383,5.426676951782932,0.1517657006464385,0.8103720693216439,0.8714572488594817,0.23876943976924808,0.3539232154003771,12.760527329234177,4.710839609510279,6.700352141071486,48.696842835864004,0.056394260912385974,0.05816136465526488,0.31955432395587136,0.2459949652173095,1.5708209091684335,-2.140038428779339,-0.36653853369020367,-0.055819800591160436,1.8254397174672166,1.9605638015492803,10.287086038102474,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172
43,6,constant,True,True,0,-178.16155698099058,372.32311396198116,399.2882181870025,-178.1615569666925,372.323113933385,399.2882181584063,-178.16155698099058,372.32311396198116,399.2882181870025,-1.4298080941443914e-08,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,113.29913581680836,113.29913581680836,5.419177522921525,0.1517966332012262,0.8106674506778249,0.8695315354942075,0.23865163852034504,0.3536981559436302,12.723111739340133,4.708623613401435,6.700304332980611,48.703209108345064,0.056437456528915936,0.058216533741718576,0.31923321440052105,0.24588899769568018,1.5705199179782354,-2.132513844712842,-0.3658916445472566,-0.05490948412883644,1.820997692008037,1.9562601709364544,10.243794789459047,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172
43,7,constant,True,True,0,-178.16870153794906,372.3374030758981,399.30250730091944,-178.16870153795253,372.33740307590506,399.3025073009264,-178.16870153794906,372.3374030758981,399.30250730091944,3.467448550509289e-12,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,110.43486705368599,110.43486705368599,5.452702644627696,0.1535131585094867,0.814088928628607,0.8460742600121582,0.2374370275133947,0.3504584380232152,12.330099803298499,4.600492514751734,6.610847412285263,47.87629339874218,0.0581472219176238,0.05997740341977784,0.32251683151362015,0.24489083644580095,1.56105679012342,-2.030975162899355,-0.35459444803810336,-0.0383780494659671,1.7387329287413835,1.8668601567694196,9.588660440848335,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172
43,8,constant,True,True,0,-180.01637159950235,376.0327431990047,402.997847424026,-180.01637159509963,376.03274319019926,402.9978474152206,-180.01637159950235,376.0327431990047,402.997847424026,-4.4027217427355936e-09,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,75.66427998674416,75.66427998674416,20.694789195258934,0.1842820152935909,0.8618009676415885,0.5639009413661574,0.18791412608831196,0.2953217750393086,8.266158121143516,2.1859905787995975,3.9548622364853476,34.744094576729005,0.2938614815026232,0.2975642859347931,1.262917698895548,0.19479012162086648,1.3896384023573851,-0.4603038113202443,-0.1044977408605143,0.2926801058587436,0.28340096810167287,0.328480085981155,1.170758992691452,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172
43,9,constant,True,True,0,-178.16155902193617,372.32311804387234,399.28822226889366,-178.16155902193222,372.3231180438645,399.28822226888576,-178.16155902193617,372.32311804387234,399.28822226889366,-3.950617610826157e-12,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,113.49927506687958,113.49927506687958,5.443707062258878,0.1516144769097912,0.8104867994810734,0.8695116328655769,0.2384682118913241,0.35338818382544923,12.73018261413677,4.718262300640952,6.715052891003779,48.79937634923831,0.056598683032497474,0.058368901245619734,0.32058236440986787,0.24570143272937905,1.569730743357175,-2.1288766482753916,-0.3646900545037627,-0.054251076610921496,1.8118617931646472,1.9467587584621526,10.206199476628326,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172
43,10,constant,True,True,0,-178.16151970933961,372.32303941867923,399.28814364370055,-178.16151970922394,372.3230394184479,399.2881436434692,-178.16151970933961,372.32303941867923,399.28814364370055,-1.1567635738174431e-10,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,113.32375603368473,113.32375603368473,5.437868055121875,0.1517551190125781,0.810508524989882,0.8717704098834669,0.2384386113454891,0.3535832466618668,12.769554998438318,4.7091331928934315,6.701075410568404,48.71244116154027,0.056351132200358936,0.05811255902326911,0.320058254181574,0.24566940381845992,1.5706248300793704,-2.139065956742293,-0.3654361529098745,-0.054680400504340906,1.8191877909230296,1.9543421585325147,10.275665731816623,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172
43,11,constant,True,True,0,-178.1615184539562,372.3230369079124,399.28814113293373,-178.16151845395538,372.3230369079108,399.2881411329321,-178.1615184539562,372.3230369079124,399.28814113293373,-8.242295734817162e-13,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,113.15202000648992,113.15202000648992,5.431456011734459,0.151871979881552,0.8105163959832291,0.8716895178826437,0.2385047838031661,0.35375105201804075,12.76198876821479,4.703746773624511,6.692707653833116,48.640062933837164,0.05632836626461631,0.058101841552273714,0.3197276027194834,0.2457413392668719,1.5705864032574253,-2.138620217620908,-0.3656057720260265,-0.05458029393012841,1.8205674748560898,1.9559235308212521,10.276893597185886,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172
43,12,constant,True,True,0,-178.16151132770176,372.3230226554035,399.28812688042484,-178.16151132770804,372.3230226554161,399.2881268804374,-178.16151132770176,372.3230226554035,399.28812688042484,6.281197784119286e-12,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,113.22782610719099,113.22782610719099,5.42107063610971,0.1518103115609606,0.8102940165928874,0.8715261483750961,0.2387170811317782,0.35389986305441434,12.760333542050668,4.708359129966962,6.6964283810431775,48.66080051059869,0.056311199429890955,0.058079239889766626,0.31920161898761584,0.24594324604917447,1.5705518878583815,-2.1409447475035077,-0.3665559565580892,-0.05579322892551648,1.82647231232133,1.9616501388582717,10.296672004277198,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172
43,13,constant,True,True,0,-178.22231906466757,372.44463812933515,399.40974235435647,-178.22231906467997,372.44463812935993,399.4097423543813,-178.22231906466757,372.44463812933515,399.40974235435647,1.2391865311656147e-11,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,116.28176963007841,116.28176963007841,5.81356400000526,0.1528244275302853,0.8350343167484215,0.7249855087746003,0.22391007573346197,0.33137233535111343,10.409237723279084,4.575980585125401,6.703416056921673,50.28428165818638,0.06690463546268467,0.06864454632161959,0.3400361667698286,0.2311294261581086,1.4955587571223785,-1.4056425680024256,-0.276040985733377,0.04878096636548529,1.2496053281616173,1.347024753562262,6.28221250453728,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172
