model_id,distribution,distribution_label,mean_spec,mean_label,vol_family,vol_spec,vol_order,phase,attempt,start_type,loglikelihood,optimizer_success,convergence_flag,stable_by_proxy,persistence_proxy,implied_initial_variance,implied_initial_variance_status,error_message
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,42,random_42,-198.20145434174196,True,0,True,0.9524417209158199,1.4595161970536674,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,43,random_43,-198.20145407398223,True,0,True,0.9524420749563332,1.4592391722655387,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,44,random_44,-198.2014539359087,True,0,True,0.9523931998156239,1.457973431485702,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,45,random_45,-198.20145400742908,True,0,True,0.9524048416869815,1.458487469864607,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,46,random_46,-198.2014539410802,True,0,True,0.9523879167708436,1.4579039443572586,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,47,random_47,-198.20145393879832,True,0,True,0.9524141950851187,1.4586467397888052,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,48,random_48,-198.20145394022543,True,0,True,0.9523987240075,1.45806990503252,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,49,random_49,-198.20145425238084,True,0,True,0.952400200490283,1.4578219022929821,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,50,random_50,-198.2014539308548,True,0,True,0.9523982059183909,1.458088568269791,exact,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,1,default,-189.892707852132,True,0,True,0.8669823429575564,0.4307362935280891,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,2,random_2,-189.89270787797568,True,0,True,0.8669875515174313,0.43073580585793086,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,3,random_3,-189.89270790371307,True,0,True,0.8670059878001108,0.43079682998947877,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,4,random_4,-189.89270784060076,True,0,True,0.8669768848319439,0.43071089526246364,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,5,random_5,-189.89270783105303,True,0,True,0.8669816377941567,0.43073291274567965,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,6,random_6,-189.89270788368674,True,0,True,0.8669791829519657,0.43076418364219576,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,7,random_7,-189.8927079827395,True,0,True,0.8669841781316743,0.43077624363734845,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,8,random_8,-189.89270795181517,True,0,True,0.8669591836903231,0.430714579823714,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,9,random_9,-189.89270799678144,True,0,True,0.8669378291080228,0.4306416959957626,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,10,random_10,-189.89270800423986,True,0,True,0.8670037900575529,0.4308056242126887,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,11,random_11,-189.89270783365055,True,0,True,0.8669750558997591,0.4307302586413865,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,12,random_12,-189.8927078570792,True,0,True,0.8669653501871142,0.4307028341381988,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,13,random_13,-189.8927078419735,True,0,True,0.8669713898462201,0.4307226320189036,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,14,random_14,-189.89270804338912,True,0,True,0.866942283068709,0.4306952010990456,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,15,random_15,-189.892708166729,True,0,True,0.8669525523654213,0.4306839969589849,exact_under_symmetry,
