distribution,mean_spec,vol_spec,p,q,nobs,loglikelihood,aic,bic,persistence_alpha_plus_beta,unconditional_variance_implied,initial_variance_backcast_used,backcast_iterations,backcast_converged,optimizer_success,convergence_flag
mix_normal,Constant_anchor,"GARCH(2,2)",2,2,213,-175.96314574878386,367.9262914975677,394.81662882324315,0.9999999999967445,54299934752.31449,0.44112817805000987,1,False,True,0
normal,ARX_1_1,"GARCH(1,1)",1,1,213,-192.40701281564014,396.8140256312803,416.98177862553683,0.9805418240436213,5.407476695333047,5.407746674973086,10,False,True,0
normal,ARX_1_1,"GARCH(1,2)",1,2,213,-192.4069525566607,398.8139051133214,422.3429502732874,0.98054092561859,5.4072098345758475,5.407470470422686,10,False,True,0
normal,ARX_1_1,"GARCH(2,1)",2,1,213,-185.29051577527594,384.58103155055187,408.11007671051783,0.7018091968569146,0.5599240411212919,0.559914598386271,10,False,True,0
normal,ARX_1_1,"GARCH(2,2)",2,2,213,-185.29051583481345,386.5810316696269,413.4713689953023,0.7018093922774978,0.5599243978474464,0.55991488223308,10,False,True,0
normal,ARX_2_1,"GARCH(1,1)",1,1,213,-188.83029109973438,391.66058219946876,415.1896273594347,1.0000000000000002,,0.7362393428498982,1,False,True,0
normal,ARX_2_1,"GARCH(1,2)",1,2,213,-188.8302912531536,393.6605825063072,420.5509198319826,1.0000000006979912,,0.7362393428498982,1,False,True,0
normal,ARX_2_1,"GARCH(2,1)",2,1,213,-184.52029317828328,385.04058635656656,411.930923682242,0.7713226586559044,0.6774252792731692,0.6774247238262807,10,False,True,0
normal,ARX_2_1,"GARCH(2,2)",2,2,213,-184.52029409074436,387.0405881814887,417.29221767287356,0.771323231294905,0.6774274008331653,0.6774269092412953,10,False,True,0
normal,ARX_2_2,"GARCH(1,1)",1,1,213,-213.032109676433,442.064219352866,468.9545566785414,0.9999999999918036,20448126936.225952,20448126936.225952,3,True,True,0
normal,ARX_2_2,"GARCH(1,2)",1,2,213,-188.81514959492694,395.6302991898539,425.8819286812387,1.000000000000009,,0.7362393428498982,1,False,True,0
normal,ARX_2_2,"GARCH(2,1)",2,1,213,-184.51781027547423,387.03562055094847,417.2872500423333,0.7729889432060396,0.6811290174366607,0.6811295434194046,10,False,True,0
normal,ARX_2_2,"GARCH(2,2)",2,2,213,-184.51781974946465,389.0356394989293,422.64856115602356,0.7729977871012587,0.6811508634062527,0.681152010293058,10,False,True,0
normal,Constant_anchor,"GARCH(1,1)",1,1,213,-196.56232491892803,399.12464983785605,409.20852633498436,0.9457734812280125,1.3247364221082314,1.3246659005333812,10,False,True,0
normal,Constant_anchor,"GARCH(1,2)",1,2,213,-196.56232575161752,401.12465150323504,414.56982016607276,0.945773544657753,1.3247384281942383,1.3246681113190182,10,False,True,0
normal,Constant_anchor,"GARCH(2,1)",2,1,213,-187.9379038070456,383.8758076140912,397.3209762769289,0.7676798692802972,0.66130375443272,0.6612209004505387,10,False,True,0
normal,Constant_anchor,"GARCH(2,2)",2,2,213,-187.93790318258914,385.8758063651783,402.6822671937254,0.7676837337670408,0.6613128135952069,0.6612324023746048,10,False,True,0
studentst,ARX_1_1,"GARCH(1,1)",1,1,213,-173.70815887651787,361.41631775303574,384.9453629130017,0.9362202070654756,1.449131728229074,1.4489332678342701,10,False,True,0
studentst,ARX_1_1,"GARCH(1,2)",1,2,213,-173.70809028509694,363.4161805701939,390.3065178958693,0.9362082046468883,1.448834794716759,1.4486284058465522,10,False,True,0
studentst,ARX_1_1,"GARCH(2,1)",2,1,213,-172.30530255694651,360.61060511389303,387.50094243956846,0.834739857366096,0.9076920903213525,0.9076609178716207,10,False,True,0
studentst,ARX_1_1,"GARCH(2,2)",2,2,213,-172.3053031316773,362.6106062633546,392.86223575473946,0.834741831411533,0.9077022983500997,0.9076714151658835,10,False,True,0
studentst,ARX_2_1,"GARCH(1,1)",1,1,213,-172.34691741144192,360.69383482288384,387.5841721485592,0.9606495999176048,2.027252109171016,2.026820039139513,10,False,True,0
studentst,ARX_2_1,"GARCH(1,2)",1,2,213,-172.34695747332003,362.69391494664006,392.9455444380249,0.9606516353927532,2.0273670314027945,2.026938121035797,10,False,True,0
studentst,ARX_2_1,"GARCH(2,1)",2,1,213,-170.8931660667809,359.7863321335618,390.03796162494666,0.834648491428859,0.8791152493565608,0.8791073408690414,10,False,True,0
studentst,ARX_2_1,"GARCH(2,2)",2,2,213,-170.93200929100834,361.8640185820167,395.47694023911095,0.8939225296927805,1.152634373548407,1.1527456057722756,10,False,True,0
studentst,ARX_2_2,"GARCH(1,1)",1,1,213,-172.17727816458887,362.35455632917774,392.6061858205626,0.9573763161276425,1.8950591324049313,1.8951061484008644,10,False,True,0
studentst,ARX_2_2,"GARCH(1,2)",1,2,213,-172.17729135228223,364.35458270456445,397.9675043616587,0.9573767152184844,1.8950973072352795,1.8951438484371204,10,False,True,0
studentst,ARX_2_2,"GARCH(2,1)",2,1,213,-170.82244460103385,361.6448892020677,395.25781085916196,0.8364529467207577,0.8884934350603346,0.8884863873021691,10,False,True,0
studentst,ARX_2_2,"GARCH(2,2)",2,2,213,-170.8224048896522,363.6448097793044,400.6190236021081,0.8364828877779953,0.8882582031216654,0.8882638228079908,10,False,True,0
studentst,Constant_anchor,"GARCH(1,1)",1,1,213,-179.9633839278768,367.9267678557536,381.3719365185913,1.0,,0.44112817805000987,1,False,True,0
studentst,Constant_anchor,"GARCH(1,2)",1,2,213,-179.9633836913656,369.9267673827312,386.73322821127834,1.0000000000000069,,0.44112817805000987,1,False,True,0
studentst,Constant_anchor,"GARCH(2,1)",2,1,213,-177.71890943206472,365.43781886412944,382.24427969267657,0.9524663624391101,2.580217872766854,2.5798902350468054,10,False,True,0
studentst,Constant_anchor,"GARCH(2,2)",2,2,213,-177.71891349248693,367.43782698497387,387.6055799792304,0.9524669122734822,2.580249485840105,2.5799221671591126,10,False,True,0
