model_id,parameter,coef,std_err,t_value,p_value
M031,Inflation_lag_1,0.17608774483020925,0.2107539280625081,0.8355134656279474,0.40342866845667036
M031,Inflation_lag_2,0.131334760517173,0.13140507481413038,0.999464904250792,0.31756953215801986
M031,SPF,0.668913331542911,0.2642335296930795,2.531523279123158,0.011356827855162016
M031,alpha[1],0.25007617348404126,0.22888967806996374,1.0925620394625288,0.2745861373709477
M031,alpha[2],0.5339848880069491,0.36484102973225596,1.4636097491524511,0.1433006072616008
M031,beta[1],0.0,0.532026404022045,0.0,1.0
M031,omega,0.15384839487541546,0.1244047818974747,1.236675894036019,0.21620743153759836
M032,Const,0.10891025233684995,0.09478773373632611,1.148990993284098,0.25055969456536287
M032,Inflation_lag_1,0.16423110522032316,0.14489758992065516,1.1334288259056269,0.2570342145434582
M032,Inflation_lag_2,0.09897967175120186,0.14532466560266888,0.6810934079271956,0.49581238797111127
M032,SPF,0.7068343506097896,0.30359681746202327,2.328200791163455,0.019901444201625797
M032,alpha[1],0.2893034514159722,0.18288320536199248,1.5819027823978438,0.11367176567187204
M032,alpha[2],0.8154885517033708,0.44435614329373546,1.8352138571972063,0.06647400873280442
M032,beta[1],0.09746035280025576,0.1274679598697453,0.7645870609355231,0.44451747638751116
M032,gamma[1],-0.07250421627739824,0.31837540614875065,-0.22773183756386944,0.8198547198953533
M032,gamma[2],-0.8154885517033971,0.413260167186851,-1.9733054778896293,0.04846076919961251
M032,omega,0.13302602399380264,0.04913003321165863,2.7076314689369143,0.006776522500533184
M033,Const,0.12667982951033996,0.05983815725154436,2.1170409539486696,0.034256372186748076
M033,Inflation_lag_1,0.25659100367538284,0.10889376186491019,2.3563425423184543,0.0184558901513328
M033,Inflation_lag_2,0.04756801171646611,0.17731700799616157,0.2682653641296261,0.7884950647912994
M033,SPF,0.6141379091250339,0.27018621524893305,2.2730171802406898,0.02302514464655224
M033,alpha[1],0.5512078081363264,0.3150693235627204,1.7494810408814627,0.08020790320172717
M033,alpha[2],-0.05919456380032197,0.26008449892706237,-0.22759743100615307,0.8199592173039753
M033,beta[1],0.6937203005728189,0.12955766336431668,5.354529269504302,8.577943527449772e-08
M033,gamma[1],0.029015415665568887,0.19626155265411216,0.14784054886544762,0.8824686075743553
M033,gamma[2],0.35656475889574074,0.15438230579686826,2.309621928855618,0.02090909446967881
M033,omega,-0.34924708245007524,0.16705952009851896,-2.090554804922916,0.03656799071566703
M034,Const,0.058941467788062044,0.1320800763284685,0.44625555516398363,0.655412656887729
M034,Inflation_lag_1,0.17609143239671898,0.32628121622667805,0.5396922153017311,0.5894093094772366
M034,Inflation_lag_2,0.13133621821676633,0.23592916179464293,0.5566764922900196,0.5777484810149833
M034,SPF,0.6689033269768561,0.6552629739405722,1.020816608871175,0.3073413339264798
M034,alpha[1],0.25007802281924507,0.2340875994624257,1.0683095704067231,0.2853808928527696
M034,alpha[2],0.5339822669933522,0.3660785481779279,1.458654897019032,0.14466011584804697
M034,beta[1],9.6706916888671e-15,0.4130776943523193,2.341131419364136e-14,0.9999999999999813
M034,beta[2],0.0,0.8099988544945921,0.0,1.0
M034,omega,0.15384939675870096,0.23287696444209643,0.6606466943919426,0.5088389162791862
M035,Const,0.108911413491024,0.09476445969492908,1.1492854371948888,0.25043830100178865
M035,Inflation_lag_1,0.1642275707053709,0.13401722479790457,1.2254213661939573,0.22041650071624086
M035,Inflation_lag_2,0.09898768410783979,0.14408214194096297,0.6870225745838756,0.49206850285496617
M035,SPF,0.7068265243343614,0.30299246951742353,2.3328187841107897,0.019657658367116432
M035,alpha[1],0.289288098383718,0.18603663694205055,1.55500606299301,0.11994462535896089
M035,alpha[2],0.815480234051292,0.38097463599061016,2.1405105668803395,0.032313527761856614
M035,beta[1],0.09745636957419758,0.12326440970760255,0.7906286153917045,0.4291607433519281
M035,beta[2],0.0,0.08432584570965039,0.0,1.0
M035,gamma[1],-0.07245768293015292,0.29932725506022395,-0.24206844417015952,0.8087271290425848
M035,gamma[2],-0.8154802340514291,0.35161110645164445,-2.3192675631922297,0.02038053306429415
M035,omega,0.13302528833548938,0.04893864307189385,2.7182054913142384,0.00656370595852549
M036,Const,0.1266807002356208,0.06307343450145252,2.0084636461758474,0.04459404543753529
M036,Inflation_lag_1,0.2565929700181159,0.11072776784792637,2.317331731734364,0.020485668029729048
M036,Inflation_lag_2,0.0475488367404129,0.16559122174728388,0.287145877895504,0.7740006250990716
M036,SPF,0.6141561881063804,0.26058518343294357,2.3568346443013377,0.018431452139757915
M036,alpha[1],0.5511758794227133,0.2856803585829499,1.929344677935478,0.053688086699763334
