seed,draw,mean_type,success,status,loglik,AIC,BIC,stored_loglik,stored_AIC,stored_BIC,corrected_loglik,corrected_AIC,corrected_BIC,corrected_loglik_delta,selection_eligible,selection_reason,selection_shape_reference,selection_high_shape_density,selection_loglik_upper_threshold,selection_loglik_plausible,selection_variance_bound,selection_bounds_ok,selection_constraints_ok,selection_mean_stationary,selection_implied_variance_bounds_ok,selection_shape_max,selection_max_p_t,selection_max_n_t,selection_sigma_min,selection_persistence_p,selection_persistence_n,selection_uncond_var_ref,selection_cond_var_min,selection_cond_var_median,selection_cond_var_max,selection_cond_var_lower_min,selection_cond_var_lower_max,selection_cond_var_upper_min,selection_cond_var_upper_max
1,31,"ARX(1,1)",True,0,-172.0365470181157,366.0730940362314,403.1501123456357,-172.03654701567342,366.0730940313469,403.1501123407512,-172.0365470181157,366.0730940362314,403.1501123456357,-2.4422774913546164e-09,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,24.0524339279089,24.0524339279089,19.510301500938283,0.235645081130175,0.738665737667644,0.9770062790632783,0.06372607974694347,0.1496753518375481,0.25409608829053015,7.3842297764569365,9.45342276161184e-08,1.4118177283401984e-06,94534.2276161184,1411817.7283401985
1,32,"ARX(1,1)",True,0,-172.0876287945799,366.1752575891598,403.2522758985641,-172.08762878731557,366.17525757463113,403.2522758840354,-172.0876287945799,366.1752575891598,403.2522758985641,-7.264333135026391e-09,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,30.182536373145563,30.182536373145563,17.510828621179037,0.2270585767226892,0.7297663592961323,0.9737073816351645,0.07046108662578654,0.15158213316714314,0.25818781432160093,7.619757746042895,9.483245250917649e-08,1.4112391841033064e-06,94832.4525091765,1411239.1841033066
1,33,"ARX(1,1)",True,0,-172.03680225796552,366.07360451593104,403.15062282533535,-172.0368022647308,366.0736045294616,403.1506228388659,-172.03680225796552,366.07360451593104,403.15062282533535,6.765276339137927e-09,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,24.697833816772587,24.697833816772587,19.57242726897591,0.2345001354889129,0.7361898684230419,0.9768094504978656,0.06442104382870455,0.14947113771799803,0.25415614334137554,7.4080158314166615,9.449892613184072e-08,1.4115645744562808e-06,94498.92613184072,1411564.5744562808
1,34,"ARX(1,1)",True,0,-172.03672185325544,366.0734437065109,403.1504620159152,-172.0367218373034,366.0734436746068,403.1504619840111,-172.03672185325544,366.0734437065109,403.1504620159152,-1.5952053900036844e-08,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,24.37886111980015,24.37886111980015,19.332447562014845,0.2351578295567043,0.737515129331566,0.9763208636400778,0.0644270266878663,0.1501191796037349,0.2546258959258014,7.393898927857406,9.452815066496433e-08,1.4117692193383566e-06,94528.15066496433,1411769.2193383568
1,35,"ARX(1,1)",True,0,-172.0368642764004,366.0737285528008,403.1507468622051,-172.03686428434202,366.073728568684,403.15074687808834,-172.0368642764004,366.0737285528008,403.1507468622051,7.941622470752918e-09,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,24.50270910796562,24.50270910796562,19.486392301926777,0.2350332440410329,0.7351579127448847,0.9767649213835436,0.06456145318055075,0.14975028179906988,0.25423714951098614,7.395957796681171,9.455067040111567e-08,1.4116135623939106e-06,94550.67040111567,1411613.5623939105
1,36,"ARX(1,1)",True,0,-172.03691406507386,366.0738281301477,403.150846439552,-172.03691406874697,366.07382813749393,403.15084644689824,-172.03691406507386,366.0738281301477,403.150846439552,3.6731080399476923e-09,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,24.60354132507417,24.60354132507417,19.592882162172447,0.2346604159696696,0.7369404638057934,0.9774697888062827,0.06389630430299797,0.14905363630625004,0.25364697070105735,7.3883545281357215,9.455072753965271e-08,1.4115978739290323e-06,94550.72753965271,1411597.8739290324
1,37,"ARX(1,1)",True,0,-172.03666671166454,366.0733334233291,403.1503517327334,-172.03666670826942,366.0733334165389,403.1503517259432,-172.03666671166454,366.0733334233291,403.1503517327334,-3.3951153000089107e-09,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,24.319844019199156,24.319844019199156,19.419236015094402,0.2358780067090234,0.7374842276605487,0.9770420110772762,0.06427591239453159,0.14987515636741092,0.25446878892780106,7.409618659845123,9.45710431651338e-08,1.4117407183717321e-06,94571.0431651338,1411740.7183717322
1,38,"ARX(1,1)",True,0,-171.312338480417,364.624676960834,401.7016952702383,-171.3123384811454,364.6246769622908,401.7016952716951,-171.312338480417,364.624676960834,401.7016952702383,7.283915692823939e-10,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,35.63401115483195,3.916616149631422,35.63401115483195,0.3134585608639976,0.9685206639471414,0.9992700164328001,0.005936261690557731,0.13035110194298732,0.266279200434294,6.770001126484126,9.916094934821152e-08,1.4062672462897882e-06,99160.94934821152,1406267.246289788
1,39,"ARX(1,1)",True,0,-171.3334980800493,364.6669961600986,401.74401446950293,-171.3334980783581,364.6669961567162,401.7440144661205,-171.3334980800493,364.6669961600986,401.74401446950293,-1.69120539794676e-09,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,31.34598599386899,3.871786235651197,31.34598599386899,0.3136593903078238,0.969206437597694,0.9922226585363695,0.008837271214015886,0.1361934785925274,0.27105335475456616,6.685205436923339,9.914520017461402e-08,1.4062931983272722e-06,99145.20017461402,1406293.1983272722
1,40,"ARX(1,1)",True,0,-172.05954826660144,366.1190965332029,403.1961148426072,-172.05954826663742,366.1190965332749,403.1961148426792,-172.05954826660144,366.1190965332029,403.1961148426072,3.5981884138891473e-11,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,27.728781743213105,27.728781743213105,19.79903169929859,0.2310080793427695,0.7168388127226571,0.9761136056644032,0.06911926143129983,0.14931280924420842,0.25481557596508525,7.578833418236858,9.459800970760343e-08,1.410483294804388e-06,94598.00970760343,1410483.2948043882
2,1,"ARX(1,1)",True,0,-171.3324516399777,364.6649032799554,401.7419215893597,-171.33245164085903,364.66490328171807,401.7419215911224,-171.3324516399777,364.6649032799554,401.7419215893597,8.813287877273979e-10,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,37.370446193412924,3.870023023212693,37.370446193412924,0.315736647475297,0.9686851163427062,0.9998804391157861,0.00573002616656149,0.13073783891953947,0.26662798817415434,6.921848062181745,9.936158302016837e-08,1.407045483480208e-06,99361.58302016837,1407045.4834802079
2,2,"ARX(1,1)",True,0,-171.55456103971346,365.1091220794269,402.18614038883123,-171.55456103774037,365.1091220754808,402.18614038488505,-171.55456103971346,365.1091220794269,402.18614038883123,-1.973091912077507e-09,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,24.381721506771573,4.008392303916789,24.381721506771573,0.3027015889175495,0.971719460580488,0.9847398674359933,0.012114772289252899,0.14274859089095865,0.27967739945053627,6.4524287763194605,1.001581630234017e-07,1.4159460632516605e-06,100158.1630234017,1415946.0632516604
2,3,"ARX(1,1)",True,0,-171.44575836403186,364.8915167280637,401.96853503746803,-171.44575836402487,364.89151672804974,401.9685350374541,-171.44575836403186,364.8915167280637,401.96853503746803,-6.991740519879386e-12,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,40.07992914549234,4.312221119189557,40.07992914549234,0.3084444243960661,0.9624425424921521,0.9999892889735944,0.0066609846596435525,0.12721049173416737,0.26301627509755743,6.796121272191189,9.770225845361086e-08,1.398937472417693e-06,97702.25845361086,1398937.4724176931
2,4,"ARX(1,1)",True,0,-171.33915402434914,364.6783080486983,401.7553263581026,-171.33915401547813,364.67830803095626,401.75532634036057,-171.33915402434914,364.6783080486983,401.7553263581026,-8.87101236912713e-09,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,32.118822872380406,4.140266607575201,32.118822872380406,0.3087541618183815,0.965765571723542,0.9937249114109299,0.00875478437903475,0.13433613967789051,0.27067366728091324,6.74951131110091,9.922668402981243e-08,1.40881255783918e-06,99226.68402981244,1408812.5578391799
