seed,draw,random_state,mean_type,success,status,loglik,AIC,BIC,corrected_loglik,corrected_AIC,corrected_BIC,selection_eligible,selection_reason,param_p0,param_n0,param_rho_p,param_phi_p_plus,param_phi_p_minus,param_sigma_p,param_sigma_n,param_c,param_rho_1,param_phi_1,param_rho_2,param_phi_2,selection_p_t_q05,selection_p_t_median,selection_p_t_q95,selection_n_t_q05,selection_n_t_median,selection_n_t_q95,selection_cond_var_q05,selection_cond_var_median,selection_cond_var_q95,selection_cond_skewness_q05,selection_cond_skewness_median,selection_cond_skewness_q95,selection_cond_excess_kurtosis_q05,selection_cond_excess_kurtosis_median,selection_cond_excess_kurtosis_q95
41,2,410002,"ARX(2,2)",True,0,-157.00812395413718,338.01624790827435,378.4639042458063,-157.00812395413718,338.01624790827435,378.4639042458063,True,eligible,2.8416105395487703,0.3045346769921624,0.4138383236235914,0.9300000567798632,0.0743683969936941,0.1360646106516702,0.4648016150855519,0.0146486579242049,0.0676181596582825,0.2815813645821126,-0.0227681599516305,0.6869487414205316,5.009942118763069,8.07737694121022,66.80356254261187,0.3045346769921624,0.3045346769921624,0.3045346769921624,0.1585437920410998,0.21533298672009127,1.302564820455343,-0.035919786279394364,-0.020465786952956616,0.2754017653376203,0.09558524737618189,0.10189347458027066,0.22266478450091073
41,3,410003,"ARX(2,2)",True,0,-121.96370267355852,267.92740534711703,308.375061684649,-121.96370267355852,267.92740534711703,308.375061684649,True,eligible,1.8086632616229492,0.3298733485047148,0.3401778426240336,0.7110356742658182,0.4652533336085661,0.1541772010499695,0.4750757709691814,-0.245838074227247,0.2510115061095687,-0.7221446177780619,0.0217008468216663,-0.7547167810122919,25.0817637085172,83.40837554974901,529.8661799774861,0.3298733485047148,0.3298733485047148,0.3298733485047148,0.6706602274944946,2.057119330741836,12.669693379266999,0.1131034772981797,0.5406242451160311,3.813058170590337,0.18585424887288682,0.38359611499155744,1.8972002247433362
41,4,410004,"ARX(2,2)",True,0,-153.5791941295824,331.1583882591648,371.60604459669673,-153.5791941295824,331.1583882591648,371.60604459669673,True,eligible,2.7210598473066754,4.04276879058477,0.5704460161469801,0.6698217736653042,0.1525998970887508,0.0875477199085238,0.2040022482297356,0.1276606862678981,0.1631699190132999,-0.0409188084982055,0.1136182783751782,0.630693159642704,7.466637380468616,17.524414645768882,140.98785955461068,4.04276879058477,4.04276879058477,4.04276879058477,0.22547638756759603,0.3025652599954519,1.2488635824804426,-0.058625262633354984,-0.04512735261059929,0.12056516836304451,0.044643489199291446,0.04818862293735947,0.09170663018877277
41,5,410005,"ARX(2,2)",True,0,-161.37131151044628,346.74262302089255,387.1902793584245,-161.37131151044628,346.74262302089255,387.1902793584245,True,eligible,1.6917403686394863,0.6139077904111294,0.4666471345311202,0.6171626653888088,0.2457809020716597,0.1385091971156869,0.3428180457367621,0.3497101228751736,0.3334639071801068,0.3107498448486811,0.1167639229676471,-0.1447653345109811,3.588267946789093,6.891744713406526,45.05258778454108,0.6139077904111294,0.6139077904111294,0.6139077904111294,0.1409892242060947,0.2043657576328366,0.9364738114657128,-0.03039797849511232,-0.012841512973285292,0.18996588450335425,0.05879965855077578,0.06609485438162828,0.15036692376246227
41,6,410006,"ARX(2,2)",True,0,202.58502842888652,-381.17005685777303,-340.7224005202411,202.58502842888652,-381.17005685777303,-340.7224005202411,True,eligible,5.14517356810949,2.2416406979893644,0.2299347524104322,1.0330453312758114,0.151540215081171,0.1330206041431748,0.508457693743066,-2.124018332710508,0.0650567828226511,2.832752469270079,-0.4842560616631788,-0.9136905998688348,56.86327055127717,146.91122444508173,340.98322122747186,2.2416406979893644,2.2416406979893644,2.2416406979893644,1.5856957029204133,3.179047523584655,6.613050807855185,-0.3216509673426222,0.10224627625214755,1.015832659258772,1.0057736085237983,1.1749348108366067,1.539512248650164
41,7,410007,"ARX(2,2)",True,0,-130.6499942577961,285.2999885155922,325.74764485312414,-130.6499942577961,285.2999885155922,325.74764485312414,True,eligible,0.9513433565306012,2.0997365430589934,0.6075244489484444,0.569675320179369,0.0022719570070509,0.0957633741882404,0.2316187180591153,-0.1146572418300837,0.1803892860691737,0.2608791756646422,0.148195943542979,0.5686742210174036,3.0935390842288593,10.097523163697941,69.18809919486957,2.0997365430589934,2.0997365430589934,2.0997365430589934,0.14101473369414497,0.20524563703970694,0.7471430820692321,-0.04674785116518809,-0.034445915102128584,0.06934194049789912,0.037819576109639735,0.041353800828979465,0.07117102658504101
41,8,410008,"ARX(2,2)",True,0,-96.33531133489096,216.67062266978192,257.11827900731384,-96.33531133489096,216.67062266978192,257.11827900731384,True,eligible,2.8522473912046564,2.067092848431636,0.4345302151648791,0.7202359931443174,0.219998848503458,0.1246910216509505,0.4005744323478792,0.3831480480697917,-0.096355040230089,0.9901991428172976,0.0523028241125035,-0.4468669826315934,5.40309844125357,10.019947304384951,99.9540717230999,2.067092848431636,2.067092848431636,2.067092848431636,0.4156920306879741,0.48747410834909033,1.885756463866816,-0.2447797013901536,-0.22687854019056872,0.1218279707414369,0.32716997779531726,0.333866320031461,0.4643080333448114
41,9,410009,"ARX(2,2)",True,0,-135.88120252683626,295.7624050536725,336.2100613912045,-135.88120252683626,295.7624050536725,336.2100613912045,True,eligible,1.7486438880250867,2.6665666373906918,0.6559060142601019,0.5413989499395576,0.0411921288607885,0.0865565492594958,0.2405722090984606,0.2153971919979224,0.0714586755888993,0.4897464533017041,0.0503431130734171,-0.0033675288366039,6.52951849785579,20.32374576903496,211.48096785954814,2.6665666373906918,2.6665666373906918,2.6665666373906918,0.2032469006647888,0.30659375100339553,1.7387505825649596,-0.06578523374984543,-0.04789454026555072,0.2000305664112132,0.05578925210028999,0.06043492217586968,0.12481354730206888
41,10,410010,"ARX(2,2)",True,0,-167.05706590229084,358.1141318045817,398.56178814211364,-167.05706590229084,358.1141318045817,398.56178814211364,True,eligible,2.2002912770426235,2.9694738405062933,0.4352803104634214,0.7771217522331818,0.1244607934918842,0.1416837618134454,0.1969523277510995,0.1154635545194084,0.2744744958483793,0.370265740116321,0.0913209195622262,0.2004200748964005,4.100778403164944,7.034273156028146,41.187655788385676,2.9694738405062933,2.9694738405062933,2.9694738405062933,0.19750674996752063,0.2563945695437639,0.9419994210300822,-0.0220456415301743,-0.005358745925067111,0.18891940302719315,0.036723784954571195,0.0438165713815307,0.12639474832665804
41,11,410011,"ARX(2,2)",True,0,-124.30158924093803,272.60317848187606,313.050834819408,-124.30158924093803,272.60317848187606,313.050834819408,True,eligible,0.8356357400668024,2.184554716510668,0.4740091454179576,0.8760679876828089,0.1194644617135036,0.1091331541994207,0.2487665449569286,0.0568378541550044,0.2006044359299266,0.6133955001423207,0.0315447838264979,0.1366957209043316,2.054332578613888,8.037678398732393,79.44411575782773,2.184554716510668,2.184554716510668,2.184554716510668,0.15965791253832892,0.23091983257383517,1.081373739482304,-0.061921491691926,-0.04636741547636262,0.13925801924792075,0.05194593080566925,0.057038326999857114,0.11781199457315628
