vary,value,p,n,my_loglik,justin_loglik,numerical_loglik,my_minus_justin,numerical_minus_justin,my_seconds,justin_seconds,numerical_seconds,my_bad_obs,justin_bad_obs,numerical_bad_obs
n,0.3319698932596929,2.8130037725112156,0.3319698932596929,-188.95711717724467,-188.95711717724467,-189.03317338932948,0.0,-0.07605621208480784,0.00041795801371335983,0.0006349170580506325,0.37698629195801914,0,0,0
n,0.5,2.8130037725112156,0.5,-187.11050264195995,-187.11050264195995,-187.10197239701276,0.0,0.008530244947195342,0.0003446250921115279,0.0005663330666720867,0.3882890000240877,0,0,0
n,1.0,2.8130037725112156,1.0,-193.52853142993382,-193.52853142993382,-193.50413691612167,0.0,0.024394513812154628,0.0003245419356971979,0.0004951250739395618,0.200448332936503,0,0,0
n,2.5,2.8130037725112156,2.5,-228.63720818523487,-228.6372081852349,-228.60875499776262,2.842170943040401e-14,0.028453187472280206,0.0003722909605130553,0.0005998329725116491,0.28995829191990197,0,0,0
n,5.0,2.8130037725112156,5.0,-276.10996213450017,-276.10996213450017,-276.08732913683536,0.0,0.022632997664800314,0.00024191592819988728,0.0004593339981511235,0.20721837494056672,0,0,0
n,10.0,2.8130037725112156,10.0,-336.35505193150266,-336.35505193150266,-336.34096837709785,0.0,0.01408355440480591,0.0002580410800874233,0.0004665000597015023,0.23197712493129075,0,0,0
n,25.0,2.8130037725112156,25.0,-425.00449706397137,-425.00449706397137,-424.9981319225881,0.0,0.006365141383298578,0.0002585420152172446,0.0005029999883845448,0.3944615829968825,0,0,0
n,50.0,2.8130037725112156,50.0,-495.7885018859728,-495.7885018859728,-495.7852076811229,0.0,0.003294204849851212,0.0076123339822515845,0.006606042035855353,0.3408350410172716,0,0,0
n,100.0,2.8130037725112156,100.0,-568.3196498883748,-568.3196498883748,-568.3180057966637,0.0,0.0016440917111140152,0.008106624940410256,0.007284124963916838,0.31039858306758106,0,0,0
n,200.0,2.8130037725112156,200.0,-641.7231321968316,-641.8077819501202,-641.8069956149616,0.08464975328865876,0.0007863351586365752,0.00027270789723843336,0.007661250070668757,0.4628778750775382,0,0,0
n,500.0,2.8130037725112156,500.0,-739.6470324643403,-739.6820699088914,-739.6818096367878,0.03503744455110791,0.0002602721036737421,0.00027891702484339476,0.008103374973870814,0.26326633302960545,0,0,0
