mean_type,seed,draw,observation,residual,p_t,n_t,total_shape,conditional_variance,sigma_p,sigma_n,exact_mpmath_log_density,head_default_log_density,stable_log_density,saddlepoint_log_density,normal_log_density,max_exact_or_head_minus_stable,standardized_skewness,excess_kurtosis,fourier_log_density
"ARX(2,2)",35,31,1,-0.8568421422033392,9.976029519539715,7.138320419209272,17.114349938748987,27.7700848154381,0.2558319090170172,1.9490547317975944,-2.659042698185047,-2.659042698185047,-2.659042698185047,-2.6506723003007813,-2.594137084109528,0.0,-0.7200415769644332,0.8018057058575552,
"ARX(1,1)",20,14,158,-4.554730746583098,39.402748126481484,168.26436308770843,207.6671112141899,40.16418353702062,0.9704556734391642,0.134750588119327,2.3442712846093627,2.3442712846093627,-2.938350215928813,-2.938350215928813,-3.02368595684989,5.282621500538175,0.2797252404056567,0.1301941712184579,
"ARX(1,1)",20,14,146,-1.902098514030707,39.53326161779683,168.15965223645966,207.6929138542565,40.28519777244735,0.9704556734391642,0.134750588119327,-2.7705004151505364,-2.7705004151505364,-2.7706697501924706,-2.7706697501924706,-2.811835150877926,0.00016933504193428206,0.2794008026245116,0.12984100304706414,
"ARX(1,1)",20,14,67,-2.1634858241590025,39.51918603433946,162.8341860491423,202.35337208348176,40.17524328092652,0.9704556734391642,0.134750588119327,-2.776930662949269,-2.776930662949269,-2.7770748780490795,-2.7770748780490795,-2.8238171912287116,0.0001442150998105518,0.28054991429225246,0.13049975583853016,
"ARX(2,1)",41,2,0,1.180375766031697,3.31709893613468,0.2281027284590046,3.5452016645936846,11.992694091443234,1.9006791923595667,0.2030465676596353,-2.4090814423782216,-2.4090814423782216,-2.4090814423782216,-2.3842099896430895,-2.219176341483896,0.0,1.0967391246637193,1.805989971883533,
"ARX(2,1)",41,2,6,1.4252208689212529,21.34184291792242,24.82035213213861,46.16219505006103,78.12243581208197,1.9006791923595667,0.2030465676596353,-3.1476694546524016,-3.1476694546524016,-3.1476694546524016,-3.1444166204314894,-3.11107763181812,0.0,0.4238464027853078,0.2738625678975194,
"ARX(2,1)",41,2,1,1.165199366822232,9.635642421159202,4.645450745038328,14.28109316619753,35.001064732134274,1.9006791923595667,0.2030465676596353,-2.7843538016182094,-2.7843538016182094,-2.7843538016182094,-2.776273717988112,-2.7160227493704623,0.0,0.6386455749834317,0.6159308595172677,
"ARX(1,1)",13,32,182,-0.7692187690784186,38.97016837636705,153.92847033703163,192.89863871339867,104.2396413396142,1.5647455133193673,0.2394266697424451,-3.2344158401109553,-3.2344158401109553,-3.2346894102599664,-3.2346894102599664,-3.2451229390295575,0.000273570149011082,0.2766015833115343,0.1292801662339262,
"ARX(1,1)",13,32,146,-0.9547468958790222,39.16768857018688,153.55020680716805,192.71789537735492,104.70157140963234,1.5647455133193673,0.2394266697424451,-3.235677576614364,-3.235677576614364,-3.235949326159022,-3.235949326159022,-3.2488486430129853,0.0002717495446580287,0.2761954759324536,0.12878935071652395,
"ARX(1,1)",13,32,136,-0.7874474793866646,38.99714158637907,152.4750673596392,191.47220894601827,104.22236680143399,1.5647455133193673,0.2394266697424451,-3.2342272930061426,-3.2342272930061426,-3.2344833027598843,-3.2344833027598843,-3.2451766749381488,0.00025600975374162616,0.2769020977186285,0.12940970474853608,
constant,1,9,185,-0.5079922617247545,188.83227347072264,17.046287895176448,205.8785613658991,30.21535155408012,0.0848357578507476,1.3010843577888829,32.66854539232577,-2.6479714063857465,-2.6479714063857465,-2.6479714063857465,-2.6273838775245912,35.31651679871152,-0.4507118468001528,0.321095737899456,-2.6502701343243134
constant,1,9,148,0.5209025194233163,180.3713216018102,17.10931856826974,197.48064017007994,30.261156804149838,0.0848357578507476,1.3010843577888829,30.617564789572043,-2.6068511788512527,-2.6068511788512527,-2.6068511788512527,-2.6283542972359,33.224415968423294,-0.45141886072112203,0.32130500040868165,-2.6090249171453346
constant,1,9,85,1.0855091115302917,174.49905786470518,17.04142759344948,191.54048545815465,30.103966266335323,0.0848357578507476,1.3010843577888829,28.961096424333732,28.961096424333732,-2.5957400856215207,-2.5957400856215207,-2.640838009257885,31.556836509955254,-0.453191971188038,0.32337912752442954,-2.59785493001866
