set,source,p,n,sigma_p,sigma_n,npoints,numerical_loglik,numerical_minus_justin,numerical_minus_my,numerical_seconds,numerical_bad_obs
InflationDeflation_best_AIC_median_shape,"InflationDeflation eligible ARX(1,1) best AIC row, median recursive shape fixed over time",207.89831694247783,1.7626663467872108,0.0094920782548412,0.5647624098860332,10000,-264.86220962831914,1739.743485826352,-2.9881326064288487,1.5028230940224603,0
InflationDeflation_best_AIC_median_shape,"InflationDeflation eligible ARX(1,1) best AIC row, median recursive shape fixed over time",207.89831694247783,1.7626663467872108,0.0094920782548412,0.5647624098860332,25000,-283.72661765060695,1720.8790778040643,-21.852540628716667,3.9068137340946123,0
InflationDeflation_best_AIC_median_shape,"InflationDeflation eligible ARX(1,1) best AIC row, median recursive shape fixed over time",207.89831694247783,1.7626663467872108,0.0094920782548412,0.5647624098860332,50000,-283.72514289015885,1720.8805525645123,-21.851065868268563,7.821080561960116,0
Full_best_AIC_median_shape,"Full eligible ARX(1,1) best AIC row, median recursive shape fixed over time",10.97180624767105,6.274335707945307,0.0781035771631502,0.2558656824729562,250,-205.22856449066904,0.12683194781567408,0.12683194781573093,0.03603106189984828,0
Full_best_AIC_median_shape,"Full eligible ARX(1,1) best AIC row, median recursive shape fixed over time",10.97180624767105,6.274335707945307,0.0781035771631502,0.2558656824729562,500,-205.28893454023245,0.06646189825227111,0.06646189825232796,0.06978824408724904,0
Full_best_AIC_median_shape,"Full eligible ARX(1,1) best AIC row, median recursive shape fixed over time",10.97180624767105,6.274335707945307,0.0781035771631502,0.2558656824729562,1000,-205.32137910467117,0.03401733381355143,0.034017333813608275,0.1385229789884761,0
Full_best_AIC_median_shape,"Full eligible ARX(1,1) best AIC row, median recursive shape fixed over time",10.97180624767105,6.274335707945307,0.0781035771631502,0.2558656824729562,2500,-205.34157326607996,0.013823172404755724,0.013823172404812567,0.34683232195675373,0
Full_best_AIC_median_shape,"Full eligible ARX(1,1) best AIC row, median recursive shape fixed over time",10.97180624767105,6.274335707945307,0.0781035771631502,0.2558656824729562,5000,-205.34842624980982,0.006970188674898736,0.00697018867495558,0.7066763689508662,0
Full_best_AIC_median_shape,"Full eligible ARX(1,1) best AIC row, median recursive shape fixed over time",10.97180624767105,6.274335707945307,0.0781035771631502,0.2558656824729562,10000,-205.3518755774706,0.003520861014123966,0.0035208610141808094,1.4575459950137883,0
Full_best_AIC_median_shape,"Full eligible ARX(1,1) best AIC row, median recursive shape fixed over time",10.97180624767105,6.274335707945307,0.0781035771631502,0.2558656824729562,25000,-205.35395248242946,0.0014439560552546027,0.001443956055311446,3.8194956560619175,0
Full_best_AIC_median_shape,"Full eligible ARX(1,1) best AIC row, median recursive shape fixed over time",10.97180624767105,6.274335707945307,0.0781035771631502,0.2558656824729562,50000,-205.35464600488154,0.0007504336031729508,0.0007504336032297942,7.6112316800281405,0
Full_moderate_shape,"Best Full ARX(1,1) eligible row with max recursive shape <= 20",1.9515568259277887,0.3505552246286326,0.2797677895141785,0.4998275180061731,250,-191.62207193795098,0.1947286100742076,0.1947286100742076,0.05472714209463447,0
Full_moderate_shape,"Best Full ARX(1,1) eligible row with max recursive shape <= 20",1.9515568259277887,0.3505552246286326,0.2797677895141785,0.4998275180061731,500,-191.30474657121187,0.5120539768133199,0.5120539768133199,0.10692902491427958,0
Full_moderate_shape,"Best Full ARX(1,1) eligible row with max recursive shape <= 20",1.9515568259277887,0.3505552246286326,0.2797677895141785,0.4998275180061731,1000,-191.5957904442849,0.22101010374029784,0.22101010374029784,0.213208117056638,0
Full_moderate_shape,"Best Full ARX(1,1) eligible row with max recursive shape <= 20",1.9515568259277887,0.3505552246286326,0.2797677895141785,0.4998275180061731,2500,-191.75793228152367,0.058868266501519884,0.058868266501519884,0.5339455839712173,0
Full_moderate_shape,"Best Full ARX(1,1) eligible row with max recursive shape <= 20",1.9515568259277887,0.3505552246286326,0.2797677895141785,0.4998275180061731,5000,-191.83342169214367,-0.016621144118488473,-0.016621144118488473,1.1171330868965015,0
Full_moderate_shape,"Best Full ARX(1,1) eligible row with max recursive shape <= 20",1.9515568259277887,0.3505552246286326,0.2797677895141785,0.4998275180061731,10000,-191.84099746796096,-0.02419691993577544,-0.02419691993577544,2.220698905060999,0
Full_moderate_shape,"Best Full ARX(1,1) eligible row with max recursive shape <= 20",1.9515568259277887,0.3505552246286326,0.2797677895141785,0.4998275180061731,25000,-191.80748989722713,0.009310650798056486,0.009310650798056486,5.684429244021885,0
Full_moderate_shape,"Best Full ARX(1,1) eligible row with max recursive shape <= 20",1.9515568259277887,0.3505552246286326,0.2797677895141785,0.4998275180061731,50000,-191.8101180350585,0.006682512966676768,0.006682512966676768,11.362129787099548,0
